# MS = 0, TanBeta = 20, Xt = -2.449
#             MS     new_tower_1l     new_tower_2l      NUHMSSMNoFV           HSSUSY
  199.9999999903       113.725321       111.773568   1.12350346E+02   1.10777631E+02
  207.9791005441       114.500969       112.423858   1.13020745E+02   1.11078349E+02
  216.2765313478       115.271663       113.048657   1.13661089E+02   1.11375104E+02
  224.9049923034       116.028792       113.631852   1.14254601E+02   1.11667968E+02
  233.8776900704       116.757158       114.147564   1.14773261E+02   1.11957013E+02
  243.2083581026       117.432684       114.554715   1.15171359E+02   1.12242307E+02
  252.9112778525       118.017856       114.786296   1.15371641E+02   1.12523918E+02
  263.0013004388       118.453367        114.72665   1.15233126E+02   1.12801911E+02
  273.4938695765       118.642277       114.157661   1.14459692E+02   1.13076350E+02
  284.4050450080       118.420218       112.616029   1.12229135E+02   1.13347298E+02
  295.7515272987       117.523114       109.830172   9.92690691E+01   1.13614814E+02
  307.5506831756       116.345887       104.014507   1.23885556E+02   1.13878962E+02
  319.8205723403       98.9039681       102.131065   1.02326126E+02   1.14139795E+02
  332.5799749035       102.733894        108.26011   1.08995864E+02   1.14397375E+02
  345.8484202138       111.387904       110.530606   1.11435014E+02   1.14651756E+02
  359.6462168567       113.742055       111.880357   1.12893915E+02   1.14902989E+02
  373.9944834978       114.996165       112.832718   1.13930175E+02   1.15151131E+02
  388.9151814893        115.82935       113.570274   1.14737225E+02   1.15396232E+02
  404.4311481900       116.452698        114.17614   1.15403320E+02   1.15638343E+02
  420.5661322253        116.95515       114.694349   1.15975201E+02   1.15877514E+02
  437.3448295188       117.381106       115.150679   1.16480418E+02   1.16113793E+02
  454.7929214221       117.755316        115.56134   1.16936287E+02   1.16347229E+02
  472.9371136789       118.092693       115.937087   1.17354316E+02   1.16577864E+02
  491.8051776572       118.402773       116.285364   1.17742480E+02   1.16805750E+02
  511.4259924851       118.691935       116.611505   1.18106495E+02   1.17030928E+02
  531.8295896386       118.964607       116.919441   1.18450575E+02   1.17253441E+02
  553.0471985609       119.223961       117.212136   1.18777903E+02   1.17473332E+02
  575.1112946034       119.472327       117.491878   1.19090930E+02   1.17690643E+02
  598.0556489106       119.711455       117.760458   1.19391579E+02   1.17905414E+02
  621.9153797088       119.942687       118.019304   1.19681384E+02   1.18117686E+02
  646.7270065278       120.167067       118.269571   1.19961580E+02   1.18327498E+02
  672.5285056087       120.385423       118.512203   1.20233182E+02   1.18534888E+02
  699.3593685376       120.598417        118.74798   1.20497024E+02   1.18739893E+02
  727.2606621629       120.806591       118.977554   1.20753805E+02   1.18942551E+02
  756.2750920009       121.010385       119.201478   1.21004120E+02   1.19142897E+02
  786.4470670293       121.210171       119.420217   1.21248470E+02   1.19340967E+02
  817.8227682528       121.406256       119.634175   1.21487285E+02   1.19536795E+02
  850.4502187697       121.598903       119.843698   1.21720938E+02   1.19730415E+02
  884.3793579174       121.788336       120.049088   1.21949796E+02   1.19921861E+02
  919.6621171336       121.974748       120.250607   1.22174060E+02   1.20111165E+02
  956.3524996759       122.158307       120.448489   1.22394019E+02   1.20298358E+02
  994.5066635760       122.339159       120.642939   1.22609896E+02   1.20483472E+02
 1034.1830069283       122.517434       120.834138   1.22821887E+02   1.20666540E+02
 1075.4422580542       122.693246       121.022251   1.23030169E+02   1.20847589E+02
 1118.3475676402       122.866698       121.207423   1.23234902E+02   1.21026650E+02
 1162.9646062400        123.03788       121.389787   1.23436229E+02   1.21203751E+02
 1209.3616639106       123.206876       121.569463   1.23634072E+02   1.21378920E+02
