# MS = 0, TanBeta = 20, Xt = 0
#             MS     new_tower_1l     new_tower_2l      NUHMSSMNoFV           HSSUSY
   90.9999999984       88.2061262       88.2478235   8.83925832E+01   7.85079678E+01
   96.9260865976       89.7556852       89.8124412   8.98767949E+01   7.99598397E+01
  103.2380908157       90.7392899       90.8134071   9.08410887E+01   8.13546685E+01
  109.9611443050       91.4443274       91.5319055   9.15489085E+01   8.26962421E+01
  117.1220153465       92.0228732       92.1171975   9.21401148E+01   8.39879673E+01
  124.7492154083       92.5445503       92.6435383   9.26719213E+01   8.52329198E+01
  132.8731127150       93.0434619       93.1455465   9.31849369E+01   8.64338884E+01
  141.5260530882       93.5375983        93.640426   9.36942977E+01   8.75934069E+01
  150.7424887808       94.0369222       94.1378752   9.42092463E+01   8.87137946E+01
  160.5591156398         94.54702       94.6434054   9.47350566E+01   8.97971753E+01
  171.0150191957       95.0708614       95.1599962   9.52745713E+01   9.08455007E+01
  182.1518303517       95.6097558       95.6890237   9.58291083E+01   9.18605683E+01
  194.0138910402       96.1638927       96.2308031   9.63988387E+01   9.28440443E+01
  206.6484308385       96.7326831       96.7849212   9.69831910E+01   9.37974645E+01
  220.1057550007        97.314992       97.3504597   9.75810699E+01   9.47222596E+01
  234.4394447275       97.9093091       97.9261549   9.81910147E+01   9.56197584E+01
  249.7065705959       98.5138802       98.5105183   9.88113216E+01   9.64912039E+01
  265.9679196529       99.1268121       99.1019301   9.94401434E+01   9.73377506E+01
  283.2882375328       99.7461561       99.6987136   1.00075568E+02   9.81604830E+01
  301.7364862243       100.369976       100.299193   1.00715684E+02   9.89604127E+01
  321.3861186148       100.996398       100.901739   1.01358627E+02   9.97385014E+01
  342.3153710746       101.623652       101.504801   1.02002622E+02   1.00495640E+02
  364.6075747732       102.250098       102.106935   1.02646007E+02   1.01232669E+02
  388.3514875908       102.874239       102.706814   1.03287126E+02   1.01950385E+02
  413.6416474417       103.494739       103.303243   1.03924831E+02   1.02649538E+02
  440.5787488464       104.110414       103.895157   1.04557784E+02   1.03330840E+02
  469.2700436128       104.720241       104.481624   1.05184900E+02   1.03994957E+02
  499.8297680244       105.323341        105.06184   1.05805230E+02   1.04642526E+02
  532.3795976404       105.918975       105.635115   1.06417965E+02   1.05274150E+02
  567.0491316989       106.506534       106.200877   1.07022427E+02   1.05890399E+02
  603.9764093472       107.085522       106.758656   1.07618051E+02   1.06491817E+02
  643.3084589250       107.655551       107.308074   1.08204380E+02   1.07078918E+02
  685.2018835831       108.216322       107.848836   1.08781000E+02   1.07652195E+02
  729.8234847563       108.767619       108.380722   1.09347846E+02   1.08212114E+02
  777.3509262163       109.309297       108.903576   1.09904515E+02   1.08759122E+02
  827.9734417585        109.84127       109.417298   1.10450922E+02   1.09293644E+02
  881.8925881959       110.363505       109.921839   1.10986995E+02   1.09816086E+02
  939.3230481682       110.876012        110.41719   1.11512707E+02   1.10326835E+02
 1000.4934848414       111.378838       110.903378   1.12028075E+02   1.10826262E+02
 1065.6474522393       111.872062       111.380458   1.12533150E+02   1.11314719E+02
 1135.0443653889       112.355786       111.848515   1.13028012E+02   1.11792549E+02
 1208.9605325795       112.830134       112.307649   1.13512767E+02   1.12260083E+02
 1287.6902559082       113.295246       112.757982   1.13987540E+02   1.12717621E+02
 1371.5470028267       113.751275       113.199644   1.14452477E+02   1.13165467E+02
 1460.8646547724       114.198385       113.632783   1.14907731E+02   1.13603907E+02
 1555.9988357415       114.636745       114.057546   1.15353473E+02   1.14033216E+02
 1657.3283287535       115.066531       114.474095   1.15789875E+02   1.14453658E+02
 1765.2565838714       115.487922        114.88259   1.16217121E+02   1.14865489E+02
 1880.2133243769       115.901099       115.283199   1.16635396E+02   1.15268951E+02
 2002.6562584828       116.306245       115.676089   1.17044890E+02   1.15664280E+02
 2133.0729006345       116.703541       116.061428   1.17445836E+02   1.16051701E+02
 2271.9825132988       117.093168       116.439381   1.17838344E+02   1.16431433E+02
 2419.9381742649       117.475303       116.810114   1.18222644E+02   1.16803685E+02
 2577.5289785028       117.850125       117.173796   1.18598926E+02   1.17168658E+02
 2745.3823846982       118.217806       117.530587   1.18967378E+02   1.17526546E+02
 2924.1667120226       118.578517        117.88065   1.19328189E+02   1.17877543E+02
 3114.5938020728       118.932424        118.22414   1.19681540E+02   1.18221822E+02
 3317.4218528740       119.279692       118.561212   1.20027615E+02   1.18559562E+02
 3533.4584373414        119.62048       118.892019   1.20366593E+02   1.18890932E+02
 3763.5637200772       119.954943       119.216709   1.20698650E+02   1.19216093E+02
 4008.6538801171       120.283235       119.535423   1.21023960E+02   1.19535203E+02
 4269.7047601065       120.605503        119.84831   1.21342693E+02   1.19848416E+02
 4547.7557508958       120.921891       120.155496   1.21655017E+02   1.20155877E+02
 4843.9139317347        121.23254       120.457123   1.21961099E+02   1.20457730E+02
 5159.3584755363       121.537593       120.753321   1.22261102E+02   1.20754112E+02
 5495.3453455677       121.837177       121.044223   1.22555188E+02   1.21045150E+02
 5853.2122957232        122.13141       121.329936   1.22843518E+02   1.21330990E+02
 6234.3841962564       122.420432       121.610597   1.23126254E+02   1.21611741E+02
 6640.3787094513       122.704367       121.886312   1.23403559E+02   1.21887529E+02
 7072.8123286678       122.983322       122.157208   1.23675597E+02   1.22158472E+02
 7533.4068168966       123.257415       122.423384   1.23942540E+02   1.22424682E+02
 8023.9960614865       123.526762       122.684945   1.24205178E+02   1.22686270E+02
 8546.5333750337       123.791468       122.942009   1.24462545E+02   1.22943342E+02
 9103.0992759905       124.051642       123.194669   1.24715438E+02   1.23196003E+02
 9695.9097674164       124.307386       123.443023   1.24964142E+02   1.23444349E+02
10327.3251634017       124.558797       123.687181   1.25209061E+02   1.23688488E+02
10999.8594860118       124.805975       123.927218   1.25450762E+02   1.23928505E+02
11716.1904738603       125.049011       124.163225   1.25690341E+02   1.24164494E+02
12479.1702483166       125.287997       124.395304   1.25929632E+02   1.24396545E+02
13291.8366626007       125.523024       124.623536   1.26179286E+02   1.24624744E+02
14157.4254016679       125.754176       124.84801    1.26409073E+02   1.24849176E+02
15079.3828626941        125.98154       125.068786   1.26586179E+02   1.25069918E+02
16061.3798830726       126.205193       125.285969   1.26779163E+02   1.25287062E+02
17107.3263473251       126.425221       125.499616   1.26974523E+02   1.25500674E+02
18221.3867603197       126.641692       125.709813   1.27168524E+02   1.25710832E+02
19407.9968271060       126.854691       125.916633   1.27360345E+02   1.25917609E+02
20671.8811119007       127.064289       126.120143   1.27550660E+02   1.26121076E+02
22018.0718573938       127.270543       126.320412   1.27736495E+02   1.26321304E+02
23451.9290089310       127.473552        126.51751   1.27919400E+02   1.26518355E+02
