# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
5.000000e+02 1.043309e+02 4.153627e-01 1.923444e-01 6.085901e-02 1.421674e-01 1.998187e-02 1.012503e-05
5.152053e+02 1.046321e+02 4.249575e-01 1.952465e-01 5.942107e-02 1.489965e-01 2.128266e-02 1.071444e-05
5.308730e+02 1.049314e+02 4.375634e-01 1.981153e-01 6.076802e-02 1.560267e-01 2.264195e-02 1.143436e-05
5.470171e+02 1.052289e+02 4.504202e-01 2.009532e-01 6.210364e-02 1.632772e-01 2.408175e-02 4.441321e-06
5.636522e+02 1.055245e+02 4.633767e-01 2.037627e-01 6.335754e-02 1.707026e-01 2.554159e-02 1.232079e-05
5.807932e+02 1.058181e+02 4.765581e-01 2.065459e-01 6.456786e-02 1.783471e-01 2.708390e-02 1.332761e-05
5.984554e+02 1.061096e+02 4.899362e-01 2.093052e-01 6.573065e-02 1.861973e-01 2.868905e-02 1.401882e-05
6.166548e+02 1.063991e+02 5.035043e-01 2.120424e-01 6.683515e-02 1.942538e-01 3.035815e-02 1.476535e-05
6.354076e+02 1.066865e+02 5.172993e-01 2.147596e-01 6.791500e-02 2.025172e-01 3.209203e-02 1.552393e-05
6.547307e+02 1.069720e+02 5.311878e-01 2.174595e-01 6.879188e-02 2.109785e-01 3.394171e-02 1.624578e-05
6.746414e+02 1.072551e+02 5.453839e-01 2.201419e-01 6.975857e-02 2.196563e-01 3.580975e-02 1.736257e-05
6.951576e+02 1.075361e+02 5.597907e-01 2.228094e-01 7.067658e-02 2.285417e-01 3.774510e-02 1.792445e-05
7.162978e+02 1.078149e+02 5.744121e-01 2.254634e-01 7.154583e-02 2.376356e-01 3.974833e-02 1.889910e-05
7.380808e+02 1.080915e+02 5.892494e-01 2.281055e-01 7.236641e-02 2.469378e-01 4.181989e-02 1.978748e-05
7.605262e+02 1.083658e+02 6.043045e-01 2.307368e-01 7.313813e-02 2.564480e-01 4.396088e-02 2.065061e-05
7.836543e+02 1.086380e+02 6.195795e-01 2.333587e-01 7.386126e-02 2.661667e-01 4.617136e-02 2.153118e-05
8.074856e+02 1.089079e+02 6.350767e-01 2.359722e-01 7.453603e-02 2.760939e-01 4.845190e-02 2.260105e-05
8.320417e+02 1.091755e+02 6.508865e-01 2.385784e-01 7.525222e-02 2.862294e-01 5.080282e-02 2.371589e-05
8.573446e+02 1.094410e+02 6.668338e-01 2.411782e-01 7.583364e-02 2.965729e-01 5.322433e-02 2.469471e-05
8.834169e+02 1.097041e+02 6.830070e-01 2.437725e-01 7.636711e-02 3.071245e-01 5.571697e-02 2.581101e-05
9.102821e+02 1.099650e+02 6.994060e-01 2.463622e-01 7.685213e-02 3.178840e-01 5.828073e-02 2.696872e-05
9.379643e+02 1.102237e+02 7.160681e-01 2.489478e-01 7.732540e-02 3.288510e-01 6.091569e-02 2.816962e-05
9.664883e+02 1.104802e+02 7.329241e-01 2.515302e-01 7.771707e-02 3.400253e-01 6.362227e-02 2.929756e-05
9.958798e+02 1.107344e+02 7.500076e-01 2.541098e-01 7.806071e-02 3.514065e-01 6.640006e-02 3.045380e-05
1.026165e+03 1.109863e+02 7.673217e-01 2.566873e-01 7.835883e-02 3.629946e-01 6.924928e-02 3.175944e-05
1.057371e+03 1.112361e+02 7.848650e-01 2.592631e-01 7.861055e-02 3.747887e-01 7.216964e-02 3.306966e-05
1.089527e+03 1.114836e+02 8.026379e-01 2.618376e-01 7.881631e-02 3.867887e-01 7.516092e-02 3.438150e-05
1.122660e+03 1.117290e+02 8.206409e-01 2.644112e-01 7.897677e-02 3.989942e-01 7.822300e-02 3.578272e-05
1.156800e+03 1.119723e+02 8.388517e-01 2.669842e-01 7.901101e-02 4.113921e-01 8.142717e-02 3.718240e-05
1.191979e+03 1.122133e+02 8.573163e-01 2.695569e-01 7.908088e-02 4.240082e-01 8.463182e-02 3.849790e-05
1.228228e+03 1.124523e+02 8.681213e-01 2.721306e-01 7.896827e-02 4.293124e-01 8.767402e-02 3.600119e-05
1.265579e+03 1.126888e+02 8.949282e-01 2.747020e-01 7.908872e-02 4.498465e-01 9.124945e-02 4.152008e-05
1.304066e+03 1.129234e+02 9.140764e-01 2.772751e-01 7.902681e-02 4.630707e-01 9.466064e-02 4.316450e-05
1.343723e+03 1.131558e+02 9.334535e-01 2.798484e-01 7.892309e-02 4.764973e-01 9.813997e-02 4.475967e-05
1.384587e+03 1.133862e+02 9.530562e-01 2.824223e-01 7.877619e-02 4.901253e-01 1.016860e-01 4.644818e-05
1.426693e+03 1.136145e+02 9.728848e-01 2.849966e-01 7.858762e-02 5.039543e-01 1.052980e-01 4.815599e-05
1.470079e+03 1.138406e+02 9.929376e-01 2.875715e-01 7.835739e-02 5.179836e-01 1.089752e-01 4.986236e-05
1.514785e+03 1.140648e+02 1.013214e+00 2.901470e-01 7.808620e-02 5.322125e-01 1.127165e-01 5.157834e-05
1.560851e+03 1.142869e+02 1.033712e+00 2.927231e-01 7.777444e-02 5.466402e-01 1.165208e-01 5.339485e-05
1.608317e+03 1.145070e+02 1.054431e+00 2.952996e-01 7.742272e-02 5.612661e-01 1.203872e-01 5.529362e-05
1.657227e+03 1.147251e+02 1.075369e+00 2.978766e-01 7.703136e-02 5.760897e-01 1.243141e-01 5.718876e-05
1.707624e+03 1.149413e+02 1.096525e+00 3.004540e-01 7.660099e-02 5.911101e-01 1.283008e-01 5.943007e-05
1.759554e+03 1.151554e+02 1.117893e+00 3.030316e-01 7.613137e-02 6.063254e-01 1.323441e-01 6.099575e-05
1.813063e+03 1.153677e+02 1.139547e+00 3.056093e-01 7.562512e-02 6.217379e-01 1.364468e-01 1.277947e-04
1.868199e+03 1.155780e+02 1.161278e+00 3.081871e-01 7.507944e-02 6.373444e-01 1.406007e-01 6.683392e-05
1.925012e+03 1.157864e+02 1.183272e+00 3.107648e-01 7.449448e-02 6.531415e-01 1.448082e-01 6.289841e-05
1.983553e+03 1.159930e+02 1.205465e+00 3.133422e-01 7.386858e-02 6.691279e-01 1.490641e-01 6.182618e-05
2.043874e+03 1.161976e+02 1.228033e+00 3.159190e-01 7.323955e-02 6.853512e-01 1.534055e-01 1.181495e-04
2.106029e+03 1.164004e+02 1.251038e+00 3.184949e-01 7.260086e-02 7.019076e-01 1.579233e-01 1.108517e-04
2.170075e+03 1.166017e+02 1.272486e+00 3.210725e-01 7.157055e-02 7.171899e-01 1.622476e-01 4.054639e-04
# 2.236068e+03 1.168048e+02 4.022019e-01 3.236737e-01 6.688839e-02 0.000000e+00 0.000000e+00 1.163984e-02
# 2.304068e+03 - - - - - - -
2.374136e+03 1.171883e+02 1.369615e+00 3.287576e-01 7.482988e-02 7.743470e-01 1.821432e-01 9.536909e-03
2.446335e+03 1.173878e+02 1.367020e+00 3.313620e-01 6.849050e-02 7.863821e-01 1.800331e-01 7.517414e-04
2.520729e+03 1.175792e+02 1.391612e+00 3.339202e-01 6.778247e-02 8.046871e-01 1.847834e-01 4.388571e-04
2.597386e+03 1.177704e+02 1.403272e+00 3.364535e-01 5.572260e-02 8.215110e-01 1.895683e-01 1.682784e-05
2.676374e+03 1.179592e+02 1.421472e+00 3.390165e-01 4.875372e-02 8.394626e-01 1.941466e-01 9.270165e-05
2.757764e+03 1.181463e+02 1.470915e+00 3.415761e-01 7.283272e-02 8.575381e-01 1.988606e-01 1.070054e-04
2.841629e+03 1.183317e+02 1.486643e+00 3.441332e-01 6.307207e-02 8.757670e-01 2.035691e-01 1.017679e-04
2.928045e+03 1.185155e+02 1.512520e+00 3.466872e-01 6.322186e-02 8.941907e-01 2.083176e-01 1.025080e-04
3.017088e+03 1.186977e+02 1.536563e+00 3.492380e-01 6.133370e-02 9.127949e-01 2.130915e-01 1.044674e-04
3.108840e+03 1.188783e+02 1.561705e+00 3.517854e-01 6.034513e-02 9.315789e-01 2.178850e-01 1.103920e-04
3.203381e+03 1.190573e+02 1.586877e+00 3.543292e-01 5.920559e-02 9.505418e-01 2.226879e-01 1.120003e-04
3.300798e+03 1.192347e+02 1.612202e+00 3.568691e-01 5.802998e-02 9.696808e-01 2.275063e-01 1.159830e-04
3.401177e+03 1.194106e+02 1.637668e+00 3.594050e-01 5.681101e-02 9.889994e-01 2.323347e-01 1.183389e-04
3.504608e+03 1.195850e+02 1.663288e+00 3.619365e-01 5.557274e-02 1.008492e+00 2.371667e-01 1.202668e-04
3.611186e+03 1.197578e+02 1.689067e+00 3.644636e-01 5.431498e-02 1.028162e+00 2.420031e-01 1.237633e-04
3.721004e+03 1.199292e+02 1.714977e+00 3.669860e-01 5.302012e-02 1.048007e+00 2.468375e-01 1.268984e-04
3.834161e+03 1.200991e+02 1.741031e+00 3.695034e-01 5.170225e-02 1.068023e+00 2.516701e-01 1.323050e-04
3.950760e+03 1.202675e+02 1.767201e+00 3.720156e-01 5.035078e-02 1.088208e+00 2.564947e-01 1.315622e-04
# 4.070905e+03 1.204345e+02 1.532250e+00 3.745229e-01 4.895621e-02 1.108642e+00 0.000000e+00 1.293085e-04
4.194704e+03 1.206000e+02 1.819933e+00 3.770238e-01 4.756518e-02 1.129106e+00 2.661102e-01 1.282479e-04
4.322267e+03 1.207641e+02 1.846571e+00 3.795195e-01 4.617102e-02 1.149797e+00 2.709452e-01 1.383122e-04
4.453710e+03 1.209268e+02 1.873126e+00 3.820092e-01 4.467030e-02 1.170651e+00 2.756486e-01 1.467400e-04
4.589149e+03 1.210881e+02 1.900310e+00 3.844912e-01 4.328470e-02 1.191816e+00 2.805022e-01 2.161213e-04
4.728708e+03 1.212482e+02 1.926496e+00 3.869697e-01 4.164080e-02 1.212798e+00 2.850144e-01 7.307657e-05
4.872511e+03 1.214068e+02 1.953740e+00 3.894393e-01 4.007271e-02 1.234190e+00 2.897872e-01 2.510252e-04
5.020686e+03 1.215651e+02 1.978703e+00 3.919065e-01 3.771462e-02 1.254462e+00 2.939748e-01 6.445618e-04
5.173368e+03 1.217180e+02 2.014968e+00 3.944458e-01 3.875602e-02 1.280179e+00 2.990578e-01 2.529223e-03
# 5.330693e+03 - - - - - - -
# 5.492803e+03 - - - - - - -
5.659842e+03 1.221515e+02 2.384897e+00 4.020440e-01 6.280298e-02 1.390686e+00 4.801713e-01 4.919325e-02
5.831961e+03 1.223360e+02 2.179134e+00 4.041665e-01 1.063778e-01 1.357692e+00 3.083269e-01 2.570706e-03
6.009314e+03 1.224784e+02 2.162860e+00 4.065074e-01 4.064789e-02 1.391484e+00 3.200851e-01 4.135600e-03
6.192061e+03 1.226286e+02 2.186827e+00 4.089742e-01 4.129678e-02 1.410322e+00 3.257362e-01 4.976453e-04
6.380365e+03 1.227758e+02 2.219888e+00 4.113547e-01 4.370474e-02 1.433985e+00 3.298781e-01 9.656078e-04
6.574395e+03 1.229220e+02 2.251489e+00 4.137441e-01 4.601819e-02 1.457256e+00 3.339918e-01 4.791116e-04
6.774326e+03 1.230667e+02 2.283129e+00 4.161366e-01 4.878586e-02 1.479999e+00 3.379688e-01 2.377471e-04
6.980337e+03 1.232103e+02 2.314902e+00 4.185085e-01 5.110270e-02 1.503345e+00 3.415380e-01 4.072575e-04
7.192613e+03 1.233528e+02 2.347646e+00 4.208820e-01 5.377198e-02 1.526654e+00 3.459078e-01 4.301756e-04
7.411344e+03 1.234941e+02 2.378932e+00 4.232382e-01 5.627085e-02 1.550096e+00 3.492304e-01 9.700442e-05
7.636728e+03 1.236342e+02 2.411957e+00 4.255926e-01 5.911047e-02 1.574099e+00 3.531252e-01 2.909193e-05
7.868965e+03 1.237730e+02 2.445277e+00 4.279353e-01 6.187237e-02 1.598036e+00 3.570931e-01 3.401588e-04
8.108264e+03 1.239110e+02 2.477456e+00 4.302738e-01 6.456419e-02 1.621950e+00 3.603299e-01 3.374475e-04
8.354841e+03 1.240478e+02 2.510061e+00 4.325957e-01 6.732783e-02 1.646104e+00 3.637557e-01 2.773691e-04
8.608917e+03 1.241835e+02 2.543357e+00 4.349121e-01 7.005886e-02 1.670549e+00 3.675856e-01 2.510722e-04
8.870719e+03 1.243181e+02 2.575160e+00 4.372200e-01 7.281684e-02 1.695123e+00 3.697386e-01 2.614289e-04
9.140482e+03 1.244518e+02 2.607463e+00 4.395127e-01 7.559161e-02 1.719522e+00 3.726102e-01 2.267864e-04
9.418449e+03 1.245842e+02 2.640671e+00 4.418001e-01 7.848618e-02 1.744347e+00 3.757327e-01 3.050367e-04
# 9.704870e+03 - - - - - - -
1.000000e+04 1.248463e+02 2.705736e+00 4.463496e-01 8.409336e-02 1.794174e+00 3.807953e-01 3.244029e-04
