# SOFTSUSY 4.1.1
# MS/GeV     mh           DMh(all)     DMh(Q_pole)  DMh(Q_match) DMh(Mt)      DMh(alpha_s) DMh(alpha_em)
5.000000e+02 1.179979e+02 1.764360e+00 1.217345e+00 1.174129e-01 3.814003e-01 4.819379e-02 7.280622e-06
5.152053e+02 1.182926e+02 1.599156e+00 1.032090e+00 1.192477e-01 3.969844e-01 5.082600e-02 7.713611e-06
5.308730e+02 1.185746e+02 1.546910e+00 9.602650e-01 1.208161e-01 4.123414e-01 5.347971e-02 8.004852e-06
5.470171e+02 1.188469e+02 1.743091e+00 1.137183e+00 1.221804e-01 4.275610e-01 5.615817e-02 8.428227e-06
5.636522e+02 1.191118e+02 1.762064e+00 1.137103e+00 1.233809e-01 4.427082e-01 5.886262e-02 8.819099e-06
5.807932e+02 1.193712e+02 1.785606e+00 1.141721e+00 1.244541e-01 4.578302e-01 6.159162e-02 9.321514e-06
5.984554e+02 1.196267e+02 1.814168e+00 1.151424e+00 1.254318e-01 4.729600e-01 6.434290e-02 9.890305e-06
6.166548e+02 1.198798e+02 1.848217e+00 1.166630e+00 1.263412e-01 4.881226e-01 6.711229e-02 1.041759e-05
6.354076e+02 1.201318e+02 1.888255e+00 1.187809e+00 1.272048e-01 5.033355e-01 6.989457e-02 1.100332e-05
6.547307e+02 1.203839e+02 1.934846e+00 1.215497e+00 1.280444e-01 5.186108e-01 7.268233e-02 1.159070e-05
6.746414e+02 1.197723e+02 4.127858e+00 7.946007e-01 9.938606e-01 1.398936e+00 9.404476e-01 1.229560e-05
6.951576e+02 1.199856e+02 1.304306e+00 5.584772e-01 1.166346e-01 5.449249e-01 8.425643e-02 1.293596e-05
7.162978e+02 1.201940e+02 1.303041e+00 5.373440e-01 1.168461e-01 5.611387e-01 8.769856e-02 1.361216e-05
7.380808e+02 1.203979e+02 1.321138e+00 5.354456e-01 1.169729e-01 5.774908e-01 9.121454e-02 1.430703e-05
7.605262e+02 1.205975e+02 1.339504e+00 5.336746e-01 1.170205e-01 5.939890e-01 9.480467e-02 1.503541e-05
7.836543e+02 1.207932e+02 1.358146e+00 5.320267e-01 1.169951e-01 6.106398e-01 9.846914e-02 1.573122e-05
8.074856e+02 1.209853e+02 1.377072e+00 5.304967e-01 1.169015e-01 6.274488e-01 1.022082e-01 1.653481e-05
8.320417e+02 1.211739e+02 1.396283e+00 5.290795e-01 1.167435e-01 6.444207e-01 1.060217e-01 1.734585e-05
8.573446e+02 1.213593e+02 1.415782e+00 5.277696e-01 1.165255e-01 6.615595e-01 1.099097e-01 1.813242e-05
8.834169e+02 1.215417e+02 1.435572e+00 5.265618e-01 1.162506e-01 6.788689e-01 1.138719e-01 1.895064e-05
9.102821e+02 1.217212e+02 1.455652e+00 5.254509e-01 1.159216e-01 6.963517e-01 1.179080e-01 1.988312e-05
9.379643e+02 1.218980e+02 1.476023e+00 5.244315e-01 1.155418e-01 7.140106e-01 1.220179e-01 2.075387e-05
9.664883e+02 1.220722e+02 1.496727e+00 5.234988e-01 1.151131e-01 7.318929e-01 1.262008e-01 2.164974e-05
9.958798e+02 1.222439e+02 1.517591e+00 5.226044e-01 1.146380e-01 7.498691e-01 1.304572e-01 2.259867e-05
1.026165e+03 1.224133e+02 1.538825e+00 5.218288e-01 1.141187e-01 7.680688e-01 1.347849e-01 2.356957e-05
1.057371e+03 1.225803e+02 1.560343e+00 5.211261e-01 1.135569e-01 7.864517e-01 1.391838e-01 2.458794e-05
1.089527e+03 1.227452e+02 1.582145e+00 5.204923e-01 1.129544e-01 8.050192e-01 1.436533e-01 2.562186e-05
1.122660e+03 1.229079e+02 1.604228e+00 5.199237e-01 1.123128e-01 8.237722e-01 1.481925e-01 2.669467e-05
1.156800e+03 1.230686e+02 1.633906e+00 5.194165e-01 1.116336e-01 8.500281e-01 1.528003e-01 2.774054e-05
