#             MS[]         MASS[25]	#             MS[]         MASS[25]	#             MS[]         MASS[25]
     90.9999999984   7.16760511E+01	     90.9999999984   7.16730471E+01	     90.9999999984   7.16790710E+01
    102.2642966615   7.57740366E+01	    102.2642966615   7.57694369E+01	    102.2642966615   7.57786598E+01
    114.9229271633   7.90278129E+01	    114.9229271633   7.90205304E+01	    114.9229271633   7.90351326E+01
    129.1484869982   8.16666845E+01	    129.1484869982   8.16555742E+01	    129.1484869982   8.16778504E+01
    145.1349361319   8.38661165E+01	    145.1349361319   8.38491481E+01	    145.1349361319   8.38831095E+01
    163.1002435693   8.57821870E+01	    163.1002435693   8.57571132E+01	    163.1002435693   8.58073051E+01
    183.2893592772   8.75236056E+01	    183.2893592772   8.74878249E+01	    183.2893592772   8.75594627E+01
    205.9775539819   8.91581664E+01	    205.9775539819   8.91085966E+01	    205.9775539819   8.92078637E+01
    231.4741723778   9.07250694E+01	    231.4741723778   9.06581519E+01	    231.4741723778   9.07921925E+01
    260.1268509224   9.22449973E+01	    260.1268509224   9.21567281E+01	    260.1268509224   9.23335875E+01
    292.3262577233   9.37272692E+01	    292.3262577233   9.36132513E+01	    292.3262577233   9.38417734E+01
    328.5114191460   9.51746592E+01	    328.5114191460   9.50301663E+01	    328.5114191460   9.53198680E+01
    369.1757057673   9.65865320E+01	    369.1757057673   9.64065772E+01	    369.1757057673   9.67675133E+01
    414.8735592909   9.79608058E+01	    414.8735592909   9.77402080E+01	    414.8735592909   9.81828388E+01
    466.2280521437   9.92950885E+01	    466.2280521437   9.90285341E+01	    466.2280521437   9.95636045E+01
    523.9393828785   1.00587333E+02	    523.9393828785   1.00268893E+02	    523.9393828785   1.00908743E+02
    588.7944229041   1.01836065E+02	    588.7944229041   1.01456889E+02	    588.7944229041   1.02219119E+02
    661.6774454677   1.03040475E+02	    661.6774454677   1.02594253E+02	    661.6774454677   1.03491698E+02
    743.5821821838   1.04200376E+02	    743.5821821838   1.03680868E+02	    743.5821821838   1.04726249E+02
    835.6253722240   1.05316109E+02	    835.6253722240   1.04717188E+02	    835.6253722240   1.05923029E+02
    939.0619886208   1.06388435E+02	    939.0619886208   1.05704115E+02	    939.0619886208   1.07082687E+02
   1055.3023493356   1.07418431E+02	   1055.3023493356   1.06642890E+02	   1055.3023493356   1.08206164E+02
