#             MS[]         MASS[25]
     91.1875999978      71.81028470
    102.4716011870      75.88555790
    115.1519400673      79.11009950
    129.4014063181      81.72462930
    145.4141714618      83.90577910
    163.4084347580      85.81150930
    183.6293965136      87.55166500
    206.3525993250      89.19442860
    231.8876827820      90.77754760
    260.5826027968      92.32659100
    292.8283730542      93.84696650
    329.0643931914      95.34585850
    369.7844363134      96.81019540
    415.5433774328      98.23727260
    466.9647545196      99.62418950
    524.7492651926     100.96846300
    589.6843148334     102.26829400
    662.6547462299     103.52262300
    744.6548969596     104.73107900
    836.8021488125     105.89387300
    940.3521538853     107.01168300
   1056.7159448282     108.08553500
   1187.4791623973     109.11670700
   1334.4236623183     110.10664400
   1499.5517958901     111.05689500
   1685.1136951894     111.96906000
   1893.6379346798     112.84475400
   2127.9659870400     113.68557600
   2391.2909427245     114.49309400
   2687.2010208726     115.26883000
   3019.7284644718     116.01424800
   3393.4044860477     116.73075500
   3813.3210126041     117.41969300
   4285.2000711840     118.08234100
   4815.4717605417     118.71991700
   5411.3618714114     119.33357600
   6080.9903493383     119.92484800
   6833.4819417835     120.49395800
   7679.0905372449     121.04223100
   8629.3388907111     121.57063800
   9697.1756394287     122.08006200
  10897.1517485716     122.57134100
  12245.6187911631     123.04527300
  13760.9517641289     123.50260400
  15463.7994767023     123.94400800
  17377.3659231189     124.37025900
  19527.7264737508     124.78193800
  21944.1831932827     125.17966700
  24659.6641277031     125.56399100
  27711.1720010281     125.93557400
  31140.2884359598     126.29483300
  34993.7405692835     126.64230500
  39324.0377830358     126.97845200
  44190.1872279123     127.30320500
  49658.4978890535     127.61388400
  55803.4841508779     127.92424300
  62708.8811734623     128.20732400
  70468.7859165787     128.51257300
  79188.9393596469                -
  88988.1673898758                -
  99999.9999929771                -
