#             MS[]         MASS[25]
     91.1875999978      71.56802160
    102.4716011870      75.63946680
    115.1519400673      78.88142730
    129.4014063181      81.52595410
    145.4141714618      83.74337180
    163.4084347580      85.68671990
    183.6293965136      87.43008100
    206.3525993250      89.01716150
    231.8876827820      90.53491610
    260.5826027968      92.00447760
    292.8283730542      93.43568940
    329.0643931914      94.83184510
    369.7844363134      96.19277720
    415.5433774328      97.51679480
    466.9647545196      98.80182920
    524.7492651926     100.04605400
    589.6843148334     101.24816700
    662.6547462299     102.40747600
    744.6548969596     103.52386500
    836.8021488125     104.59775900
    940.3521538853     105.62985200
   1056.7159448282     106.62125100
   1187.4791623973     107.57323800
   1334.4236623183     108.48723100
   1499.5517958901     109.36472700
   1685.1136951894     110.20725900
   1893.6379346798     111.01636000
   2127.9659870400     111.79354300
   2391.2909427245     112.54028000
   2687.2010208726     113.25799400
   3019.7284644718     113.94805300
   3393.4044860477     114.61176000
   3813.3210126041     115.25036000
   4285.2000711840     115.86503500
   4815.4717605417     116.45690400
   5411.3618714114     117.02702900
   6080.9903493383     117.57683800
   6833.4819417835     118.10644400
   7679.0905372449     118.61716000
   8629.3388907111     119.10983600
   9697.1756394287     119.58527600
  10897.1517485716     120.04424100
  12245.6187911631     120.48745400
  13760.9517641289     120.91559500
  15463.7994767023     121.32927000
  17377.3659231189     121.72918500
  19527.7264737508     122.11586300
  21944.1831932827     122.48986400
  24659.6641277031     122.85158800
  27711.1720010281     123.20181900
  31140.2884359598     123.54084200
  34993.7405692835     123.86913900
  39324.0377830358     124.18713000
  44190.1872279123     124.49470400
  49658.4978890535     124.78926700
  55803.4841508779     125.08406200
  62708.8811734623     125.35278700
  70468.7859165787     125.64398600
  79188.9393596469                -
  88988.1673898758                -
  99999.9999929771                -
