#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02                -
    1.09000000E+00   1.00000000E+02                -
    1.18000000E+00   1.00000000E+02                -
    1.27000000E+00   1.00000000E+02                -
    1.36000000E+00   1.00000000E+02                -
    1.45000000E+00   1.00000000E+02                -
    1.54000000E+00   1.00000000E+02                -
    1.63000000E+00   1.00000000E+02                -
    1.72000000E+00   1.00000000E+02                -
    1.81000000E+00   1.00000000E+02                -
    1.90000000E+00   1.00000000E+02   1.73622260E+01
    1.99000000E+00   1.00000000E+02   2.43370435E+01
    2.08000000E+00   1.00000000E+02   2.94890849E+01
    2.17000000E+00   1.00000000E+02   3.36664691E+01
    2.26000000E+00   1.00000000E+02   3.71999685E+01
    2.35000000E+00   1.00000000E+02   4.02621804E+01
    2.44000000E+00   1.00000000E+02   4.29581160E+01
    2.53000000E+00   1.00000000E+02   4.53581365E+01
    2.62000000E+00   1.00000000E+02   4.75126027E+01
    2.71000000E+00   1.00000000E+02   4.94593129E+01
    2.80000000E+00   1.00000000E+02   5.12276586E+01
    2.89000000E+00   1.00000000E+02   5.28411154E+01
    2.98000000E+00   1.00000000E+02   5.43188551E+01
    3.07000000E+00   1.00000000E+02   5.56767726E+01
    3.16000000E+00   1.00000000E+02   5.69282442E+01
    3.25000000E+00   1.00000000E+02   5.80846500E+01
    3.34000000E+00   1.00000000E+02   5.91557630E+01
    3.43000000E+00   1.00000000E+02   6.01500425E+01
    3.52000000E+00   1.00000000E+02   6.10748614E+01
    3.61000000E+00   1.00000000E+02   6.19366831E+01
    3.70000000E+00   1.00000000E+02   6.27412033E+01
    3.79000000E+00   1.00000000E+02   6.34934642E+01
    3.88000000E+00   1.00000000E+02   6.41979478E+01
    3.97000000E+00   1.00000000E+02   6.48586530E+01
    4.06000000E+00   1.00000000E+02   6.54791594E+01
    4.15000000E+00   1.00000000E+02   6.60626812E+01
    4.24000000E+00   1.00000000E+02   6.66121125E+01
    4.33000000E+00   1.00000000E+02   6.71300664E+01
    4.42000000E+00   1.00000000E+02   6.76189077E+01
    4.51000000E+00   1.00000000E+02   6.80807812E+01
    4.60000000E+00   1.00000000E+02   6.85176367E+01
    4.69000000E+00   1.00000000E+02   6.89312501E+01
    4.78000000E+00   1.00000000E+02   6.93232419E+01
    4.87000000E+00   1.00000000E+02   6.96950937E+01
    4.96000000E+00   1.00000000E+02   7.00481622E+01
    5.05000000E+00   1.00000000E+02   7.03836918E+01
    5.14000000E+00   1.00000000E+02   7.07028257E+01
    5.23000000E+00   1.00000000E+02   7.10066159E+01
    5.32000000E+00   1.00000000E+02   7.12960315E+01
    5.41000000E+00   1.00000000E+02   7.15719666E+01
    5.50000000E+00   1.00000000E+02   7.18352473E+01
    5.59000000E+00   1.00000000E+02   7.20866380E+01
    5.68000000E+00   1.00000000E+02   7.23268463E+01
    5.77000000E+00   1.00000000E+02   7.25565286E+01
    5.86000000E+00   1.00000000E+02   7.27762943E+01
    5.95000000E+00   1.00000000E+02   7.29867096E+01
    6.04000000E+00   1.00000000E+02   7.31883016E+01
    6.13000000E+00   1.00000000E+02   7.33815611E+01
    6.22000000E+00   1.00000000E+02   7.35669456E+01
    6.31000000E+00   1.00000000E+02   7.37448822E+01
    6.40000000E+00   1.00000000E+02   7.39157701E+01
    6.49000000E+00   1.00000000E+02   7.40799823E+01
    6.58000000E+00   1.00000000E+02   7.42378682E+01
