#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02   5.25080829E+01
    1.09000000E+00   1.00000000E+02   5.37172231E+01
    1.18000000E+00   1.00000000E+02   5.54193367E+01
    1.27000000E+00   1.00000000E+02   5.74748122E+01
    1.36000000E+00   1.00000000E+02   5.97474695E+01
    1.45000000E+00   1.00000000E+02   6.21256757E+01
    1.54000000E+00   1.00000000E+02   6.45263532E+01
    1.63000000E+00   1.00000000E+02   6.68916761E+01
    1.72000000E+00   1.00000000E+02   6.91836722E+01
    1.81000000E+00   1.00000000E+02   7.13790130E+01
    1.90000000E+00   1.00000000E+02   7.34647486E+01
    1.99000000E+00   1.00000000E+02   7.54350732E+01
    2.08000000E+00   1.00000000E+02   7.72889733E+01
    2.17000000E+00   1.00000000E+02   7.90285599E+01
    2.26000000E+00   1.00000000E+02   8.06579055E+01
    2.35000000E+00   1.00000000E+02   8.21822423E+01
    2.44000000E+00   1.00000000E+02   8.36074169E+01
    2.53000000E+00   1.00000000E+02   8.49395242E+01
    2.62000000E+00   1.00000000E+02   8.61846653E+01
    2.71000000E+00   1.00000000E+02   8.73487923E+01
    2.80000000E+00   1.00000000E+02   8.84376120E+01
    2.89000000E+00   1.00000000E+02   8.94565302E+01
    2.98000000E+00   1.00000000E+02   9.04106242E+01
    3.07000000E+00   1.00000000E+02   9.13046332E+01
    3.16000000E+00   1.00000000E+02   9.21429608E+01
    3.25000000E+00   1.00000000E+02   9.29296855E+01
    3.34000000E+00   1.00000000E+02   9.36685761E+01
    3.43000000E+00   1.00000000E+02   9.43631093E+01
    3.52000000E+00   1.00000000E+02   9.50164888E+01
    3.61000000E+00   1.00000000E+02   9.56316649E+01
    3.70000000E+00   1.00000000E+02   9.62113533E+01
    3.79000000E+00   1.00000000E+02   9.67580536E+01
    3.88000000E+00   1.00000000E+02   9.72740666E+01
    3.97000000E+00   1.00000000E+02   9.77615107E+01
    4.06000000E+00   1.00000000E+02   9.82223370E+01
    4.15000000E+00   1.00000000E+02   9.86583435E+01
    4.24000000E+00   1.00000000E+02   9.90711878E+01
    4.33000000E+00   1.00000000E+02   9.94623993E+01
    4.42000000E+00   1.00000000E+02   9.98333897E+01
    4.51000000E+00   1.00000000E+02   1.00185463E+02
    4.60000000E+00   1.00000000E+02   1.00519825E+02
    4.69000000E+00   1.00000000E+02   1.00837592E+02
    4.78000000E+00   1.00000000E+02   1.01139795E+02
    4.87000000E+00   1.00000000E+02   1.01427393E+02
    4.96000000E+00   1.00000000E+02   1.01701272E+02
    5.05000000E+00   1.00000000E+02   1.01962257E+02
    5.14000000E+00   1.00000000E+02   1.02211111E+02
    5.23000000E+00   1.00000000E+02   1.02448547E+02
    5.32000000E+00   1.00000000E+02   1.02675225E+02
    5.41000000E+00   1.00000000E+02   1.02891763E+02
    5.50000000E+00   1.00000000E+02   1.03098732E+02
    5.59000000E+00   1.00000000E+02   1.03296669E+02
    5.68000000E+00   1.00000000E+02   1.03486073E+02
    5.77000000E+00   1.00000000E+02   1.03667410E+02
    5.86000000E+00   1.00000000E+02   1.03841117E+02
    5.95000000E+00   1.00000000E+02   1.04007599E+02
    6.04000000E+00   1.00000000E+02   1.04167239E+02
    6.13000000E+00   1.00000000E+02   1.04320394E+02
    6.22000000E+00   1.00000000E+02   1.04467399E+02
    6.31000000E+00   1.00000000E+02   1.04608568E+02
    6.40000000E+00   1.00000000E+02   1.04744196E+02
    6.49000000E+00   1.00000000E+02   1.04874561E+02
    6.58000000E+00   1.00000000E+02   1.04999921E+02
    6.67000000E+00   1.00000000E+02   1.05120523E+02
    6.76000000E+00   1.00000000E+02   1.05236596E+02
    6.85000000E+00   1.00000000E+02   1.05348357E+02
    6.94000000E+00   1.00000000E+02   1.05456012E+02
    7.03000000E+00   1.00000000E+02   1.05559753E+02
    7.12000000E+00   1.00000000E+02   1.05659761E+02
    7.21000000E+00   1.00000000E+02   1.05756209E+02
    7.30000000E+00   1.00000000E+02   1.05849260E+02
    7.39000000E+00   1.00000000E+02   1.05939066E+02
    7.48000000E+00   1.00000000E+02   1.06025772E+02
    7.57000000E+00   1.00000000E+02   1.06109517E+02
    7.66000000E+00   1.00000000E+02   1.06190431E+02
    7.75000000E+00   1.00000000E+02   1.06268636E+02
    7.84000000E+00   1.00000000E+02   1.06344249E+02
    7.93000000E+00   1.00000000E+02   1.06417382E+02
    8.02000000E+00   1.00000000E+02   1.06488142E+02
    8.11000000E+00   1.00000000E+02   1.06556627E+02
    8.20000000E+00   1.00000000E+02   1.06622932E+02
    8.29000000E+00   1.00000000E+02   1.06687149E+02
    8.38000000E+00   1.00000000E+02   1.06749363E+02
    8.47000000E+00   1.00000000E+02   1.06809657E+02
    8.56000000E+00   1.00000000E+02   1.06868109E+02
    8.65000000E+00   1.00000000E+02   1.06924793E+02
    8.74000000E+00   1.00000000E+02   1.06979781E+02
    8.83000000E+00   1.00000000E+02   1.07033140E+02
    8.92000000E+00   1.00000000E+02   1.07084937E+02
    9.01000000E+00   1.00000000E+02   1.07135232E+02
    9.10000000E+00   1.00000000E+02   1.07184085E+02
    9.19000000E+00   1.00000000E+02   1.07231554E+02
    9.28000000E+00   1.00000000E+02   1.07277692E+02
    9.37000000E+00   1.00000000E+02   1.07322551E+02
    9.46000000E+00   1.00000000E+02   1.07366183E+02
    9.55000000E+00   1.00000000E+02   1.07408635E+02
    9.64000000E+00   1.00000000E+02   1.07449953E+02
    9.73000000E+00   1.00000000E+02   1.07490182E+02
    9.82000000E+00   1.00000000E+02   1.07529364E+02
    9.91000000E+00   1.00000000E+02   1.07567540E+02
    1.00000000E+01   1.00000000E+02   1.07604751E+02
#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.38038426E+02   6.17977520E+01
    1.09000000E+00   1.38038426E+02   6.19951945E+01
    1.18000000E+00   1.38038426E+02   6.28723713E+01
    1.27000000E+00   1.38038426E+02   6.42477160E+01
    1.36000000E+00   1.38038426E+02   6.59572747E+01
    1.45000000E+00   1.38038426E+02   6.78680804E+01
    1.54000000E+00   1.38038426E+02   6.98795835E+01
    1.63000000E+00   1.38038426E+02   7.19195032E+01
    1.72000000E+00   1.38038426E+02   7.39380134E+01
    1.81000000E+00   1.38038426E+02   7.59021714E+01
    1.90000000E+00   1.38038426E+02   7.77912907E+01
    1.99000000E+00   1.38038426E+02   7.95933651E+01
    2.08000000E+00   1.38038426E+02   8.13024154E+01
    2.17000000E+00   1.38038426E+02   8.29165686E+01
    2.26000000E+00   1.38038426E+02   8.44366899E+01
    2.35000000E+00   1.38038426E+02   8.58654174E+01
    2.44000000E+00   1.38038426E+02   8.72064886E+01
    2.53000000E+00   1.38038426E+02   8.84642737E+01
    2.62000000E+00   1.38038426E+02   8.96434552E+01
    2.71000000E+00   1.38038426E+02   9.07488112E+01
    2.80000000E+00   1.38038426E+02   9.17850715E+01
    2.89000000E+00   1.38038426E+02   9.27568244E+01
    2.98000000E+00   1.38038426E+02   9.36684587E+01
    3.07000000E+00   1.38038426E+02   9.45241313E+01
    3.16000000E+00   1.38038426E+02   9.53277501E+01
    3.25000000E+00   1.38038426E+02   9.60829704E+01
    3.34000000E+00   1.38038426E+02   9.67931973E+01
    3.43000000E+00   1.38038426E+02   9.74615938E+01
    3.52000000E+00   1.38038426E+02   9.80910919E+01
    3.61000000E+00   1.38038426E+02   9.86844055E+01
    3.70000000E+00   1.38038426E+02   9.92440441E+01
    3.79000000E+00   1.38038426E+02   9.97723264E+01
    3.88000000E+00   1.38038426E+02   1.00271394E+02
    3.97000000E+00   1.38038426E+02   1.00743226E+02
    4.06000000E+00   1.38038426E+02   1.01189648E+02
    4.15000000E+00   1.38038426E+02   1.01612349E+02
    4.24000000E+00   1.38038426E+02   1.02012889E+02
    4.33000000E+00   1.38038426E+02   1.02392708E+02
    4.42000000E+00   1.38038426E+02   1.02753141E+02
    4.51000000E+00   1.38038426E+02   1.03095421E+02
    4.60000000E+00   1.38038426E+02   1.03420691E+02
    4.69000000E+00   1.38038426E+02   1.03730010E+02
    4.78000000E+00   1.38038426E+02   1.04024360E+02
    4.87000000E+00   1.38038426E+02   1.04304650E+02
    4.96000000E+00   1.38038426E+02   1.04571726E+02
    5.05000000E+00   1.38038426E+02   1.04826374E+02
    5.14000000E+00   1.38038426E+02   1.05069325E+02
    5.23000000E+00   1.38038426E+02   1.05301256E+02
    5.32000000E+00   1.38038426E+02   1.05522801E+02
    5.41000000E+00   1.38038426E+02   1.05734548E+02
    5.50000000E+00   1.38038426E+02   1.05937048E+02
    5.59000000E+00   1.38038426E+02   1.06130814E+02
    5.68000000E+00   1.38038426E+02   1.06316325E+02
    5.77000000E+00   1.38038426E+02   1.06494027E+02
    5.86000000E+00   1.38038426E+02   1.06664340E+02
    5.95000000E+00   1.38038426E+02   1.06827654E+02
    6.04000000E+00   1.38038426E+02   1.06984338E+02
    6.13000000E+00   1.38038426E+02   1.07134734E+02
    6.22000000E+00   1.38038426E+02   1.07279164E+02
    6.31000000E+00   1.38038426E+02   1.07417931E+02
    6.40000000E+00   1.38038426E+02   1.07551320E+02
    6.49000000E+00   1.38038426E+02   1.07679596E+02
    6.58000000E+00   1.38038426E+02   1.07803011E+02
