#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02                -
    1.09000000E+00   1.00000000E+02                -
    1.18000000E+00   1.00000000E+02                -
    1.27000000E+00   1.00000000E+02                -
    1.36000000E+00   1.00000000E+02                -
    1.45000000E+00   1.00000000E+02                -
    1.54000000E+00   1.00000000E+02                -
    1.63000000E+00   1.00000000E+02                -
    1.72000000E+00   1.00000000E+02                -
    1.81000000E+00   1.00000000E+02                -
    1.90000000E+00   1.00000000E+02   1.73745135E+01
    1.99000000E+00   1.00000000E+02   2.43566300E+01
    2.08000000E+00   1.00000000E+02   2.95112328E+01
    2.17000000E+00   1.00000000E+02   3.36890241E+01
    2.26000000E+00   1.00000000E+02   3.72217105E+01
    2.35000000E+00   1.00000000E+02   4.02823618E+01
    2.44000000E+00   1.00000000E+02   4.29762666E+01
    2.53000000E+00   1.00000000E+02   4.53739629E+01
    2.62000000E+00   1.00000000E+02   4.75259296E+01
    2.71000000E+00   1.00000000E+02   4.94700466E+01
    2.80000000E+00   1.00000000E+02   5.12357624E+01
    2.89000000E+00   1.00000000E+02   5.28465932E+01
    2.98000000E+00   1.00000000E+02   5.43217396E+01
    3.07000000E+00   1.00000000E+02   5.56771167E+01
    3.16000000E+00   1.00000000E+02   5.69261150E+01
    3.25000000E+00   1.00000000E+02   5.80801242E+01
    3.34000000E+00   1.00000000E+02   5.91489233E+01
    3.43000000E+00   1.00000000E+02   6.01409757E+01
    3.52000000E+00   1.00000000E+02   6.10636558E+01
    3.61000000E+00   1.00000000E+02   6.19234275E+01
    3.70000000E+00   1.00000000E+02   6.27259860E+01
    3.79000000E+00   1.00000000E+02   6.34763720E+01
    3.88000000E+00   1.00000000E+02   6.41790658E+01
    3.97000000E+00   1.00000000E+02   6.48380638E+01
    4.06000000E+00   1.00000000E+02   6.54569430E+01
    4.15000000E+00   1.00000000E+02   6.60389148E+01
    4.24000000E+00   1.00000000E+02   6.65868707E+01
    4.33000000E+00   1.00000000E+02   6.71034206E+01
    4.42000000E+00   1.00000000E+02   6.75909265E+01
    4.51000000E+00   1.00000000E+02   6.80515303E+01
    4.60000000E+00   1.00000000E+02   6.84871789E+01
    4.69000000E+00   1.00000000E+02   6.88996454E+01
    4.78000000E+00   1.00000000E+02   6.92905477E+01
    4.87000000E+00   1.00000000E+02   6.96613647E+01
    4.96000000E+00   1.00000000E+02   7.00134504E+01
    5.05000000E+00   1.00000000E+02   7.03480470E+01
    5.14000000E+00   1.00000000E+02   7.06662952E+01
    5.23000000E+00   1.00000000E+02   7.09692448E+01
    5.32000000E+00   1.00000000E+02   7.12578626E+01
    5.41000000E+00   1.00000000E+02   7.15330407E+01
    5.50000000E+00   1.00000000E+02   7.17956033E+01
    5.59000000E+00   1.00000000E+02   7.20463127E+01
    5.68000000E+00   1.00000000E+02   7.22858748E+01
    5.77000000E+00   1.00000000E+02   7.25149442E+01
    5.86000000E+00   1.00000000E+02   7.27341286E+01
    5.95000000E+00   1.00000000E+02   7.29439926E+01
    6.04000000E+00   1.00000000E+02   7.31450617E+01
    6.13000000E+00   1.00000000E+02   7.33378252E+01
    6.22000000E+00   1.00000000E+02   7.35227392E+01
    6.31000000E+00   1.00000000E+02   7.37002296E+01
    6.40000000E+00   1.00000000E+02   7.38706939E+01
    6.49000000E+00   1.00000000E+02   7.40345041E+01
    6.58000000E+00   1.00000000E+02   7.41920082E+01
