#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02   5.33902300E+01
    1.09000000E+00   1.00000000E+02   5.35894608E+01
    1.18000000E+00   1.00000000E+02   5.44965909E+01
    1.27000000E+00   1.00000000E+02   5.59395219E+01
    1.36000000E+00   1.00000000E+02   5.77464768E+01
    1.45000000E+00   1.00000000E+02   5.97726592E+01
    1.54000000E+00   1.00000000E+02   6.19072056E+01
    1.63000000E+00   1.00000000E+02   6.40704883E+01
    1.72000000E+00   1.00000000E+02   6.62080743E+01
    1.81000000E+00   1.00000000E+02   6.82844625E+01
    1.90000000E+00   1.00000000E+02   7.02777839E+01
    1.99000000E+00   1.00000000E+02   7.21757105E+01
    2.08000000E+00   1.00000000E+02   7.39724469E+01
    2.17000000E+00   1.00000000E+02   7.56665784E+01
    2.26000000E+00   1.00000000E+02   7.72595591E+01
    2.35000000E+00   1.00000000E+02   7.87546606E+01
    2.44000000E+00   1.00000000E+02   8.01562481E+01
    2.53000000E+00   1.00000000E+02   8.14692869E+01
    2.62000000E+00   1.00000000E+02   8.26990088E+01
    2.71000000E+00   1.00000000E+02   8.38506905E+01
    2.80000000E+00   1.00000000E+02   8.49295096E+01
    2.89000000E+00   1.00000000E+02   8.59404531E+01
    2.98000000E+00   1.00000000E+02   8.68882643E+01
    3.07000000E+00   1.00000000E+02   8.77774133E+01
    3.16000000E+00   1.00000000E+02   8.86120853E+01
    3.25000000E+00   1.00000000E+02   8.93961802E+01
    3.34000000E+00   1.00000000E+02   9.01333193E+01
    3.43000000E+00   1.00000000E+02   9.08268568E+01
    3.52000000E+00   1.00000000E+02   9.14798940E+01
    3.61000000E+00   1.00000000E+02   9.20952945E+01
    3.70000000E+00   1.00000000E+02   9.26757007E+01
    3.79000000E+00   1.00000000E+02   9.32235496E+01
    3.88000000E+00   1.00000000E+02   9.37410881E+01
    3.97000000E+00   1.00000000E+02   9.42303882E+01
    4.06000000E+00   1.00000000E+02   9.46933607E+01
    4.15000000E+00   1.00000000E+02   9.51317684E+01
    4.24000000E+00   1.00000000E+02   9.55472381E+01
    4.33000000E+00   1.00000000E+02   9.59412720E+01
