#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02                -
    1.09000000E+00   1.00000000E+02                -
    1.18000000E+00   1.00000000E+02                -
    1.27000000E+00   1.00000000E+02                -
    1.36000000E+00   1.00000000E+02                -
    1.45000000E+00   1.00000000E+02                -
    1.54000000E+00   1.00000000E+02                -
    1.63000000E+00   1.00000000E+02                -
    1.72000000E+00   1.00000000E+02                -
    1.81000000E+00   1.00000000E+02                -
    1.90000000E+00   1.00000000E+02   1.87401772E+01
    1.99000000E+00   1.00000000E+02   2.54410825E+01
    2.08000000E+00   1.00000000E+02   3.04521808E+01
    2.17000000E+00   1.00000000E+02   3.45423184E+01
    2.26000000E+00   1.00000000E+02   3.80159751E+01
    2.35000000E+00   1.00000000E+02   4.10345281E+01
    2.44000000E+00   1.00000000E+02   4.36973015E+01
    2.53000000E+00   1.00000000E+02   4.60714222E+01
    2.62000000E+00   1.00000000E+02   4.82052490E+01
    2.71000000E+00   1.00000000E+02   5.01352762E+01
    2.80000000E+00   1.00000000E+02   5.18899870E+01
    2.89000000E+00   1.00000000E+02   5.34922157E+01
    2.98000000E+00   1.00000000E+02   5.49606455E+01
    3.07000000E+00   1.00000000E+02   5.63108155E+01
    3.16000000E+00   1.00000000E+02   5.75558233E+01
    3.25000000E+00   1.00000000E+02   5.87068293E+01
    3.34000000E+00   1.00000000E+02   5.97734314E+01
    3.43000000E+00   1.00000000E+02   6.07639476E+01
    3.52000000E+00   1.00000000E+02   6.16856349E+01
    3.61000000E+00   1.00000000E+02   6.25448614E+01
    3.70000000E+00   1.00000000E+02   6.33472433E+01
    3.79000000E+00   1.00000000E+02   6.40977564E+01
    3.88000000E+00   1.00000000E+02   6.48008267E+01
    3.97000000E+00   1.00000000E+02   6.54604051E+01
    4.06000000E+00   1.00000000E+02   6.60800308E+01
    4.15000000E+00   1.00000000E+02   6.66628831E+01
    4.24000000E+00   1.00000000E+02   6.72118262E+01
    4.33000000E+00   1.00000000E+02   6.77294472E+01
    4.42000000E+00   1.00000000E+02   6.82180883E+01
    4.51000000E+00   1.00000000E+02   6.86798749E+01
    4.60000000E+00   1.00000000E+02   6.91167396E+01
    4.69000000E+00   1.00000000E+02   6.95304431E+01
    4.78000000E+00   1.00000000E+02   6.99225929E+01
    4.87000000E+00   1.00000000E+02   7.02946587E+01
    4.96000000E+00   1.00000000E+02   7.06479870E+01
    5.05000000E+00   1.00000000E+02   7.09838130E+01
    5.14000000E+00   1.00000000E+02   7.13032717E+01
    5.23000000E+00   1.00000000E+02   7.16074076E+01
    5.32000000E+00   1.00000000E+02   7.18971832E+01
    5.41000000E+00   1.00000000E+02   7.21734869E+01
    5.50000000E+00   1.00000000E+02   7.24371394E+01
    5.59000000E+00   1.00000000E+02   7.26888999E+01
    5.68000000E+00   1.00000000E+02   7.29294717E+01
    5.77000000E+00   1.00000000E+02   7.31595071E+01
    5.86000000E+00   1.00000000E+02   7.33796115E+01
    5.95000000E+00   1.00000000E+02   7.35903479E+01
    6.04000000E+00   1.00000000E+02   7.37922398E+01
    6.13000000E+00   1.00000000E+02   7.39857749E+01
    6.22000000E+00   1.00000000E+02   7.41714079E+01
    6.31000000E+00   1.00000000E+02   7.43495631E+01
    6.40000000E+00   1.00000000E+02   7.45206368E+01
    6.49000000E+00   1.00000000E+02   7.46849995E+01
    6.58000000E+00   1.00000000E+02   7.48429981E+01
