#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02   5.88423804E+01
    1.09000000E+00   1.00000000E+02   5.88723505E+01
    1.18000000E+00   1.00000000E+02   5.96830137E+01
    1.27000000E+00   1.00000000E+02   6.10550680E+01
    1.36000000E+00   1.00000000E+02   6.27976662E+01
    1.45000000E+00   1.00000000E+02   6.47599411E+01
    1.54000000E+00   1.00000000E+02   6.68301836E+01
    1.63000000E+00   1.00000000E+02   6.89295965E+01
    1.72000000E+00   1.00000000E+02   7.10048263E+01
    1.81000000E+00   1.00000000E+02   7.30212289E+01
    1.90000000E+00   1.00000000E+02   7.49574836E+01
    1.99000000E+00   1.00000000E+02   7.68015451E+01
    2.08000000E+00   1.00000000E+02   7.85477058E+01
    2.17000000E+00   1.00000000E+02   8.01945092E+01
    2.26000000E+00   1.00000000E+02   8.17432867E+01
    2.35000000E+00   1.00000000E+02   8.31971421E+01
    2.44000000E+00   1.00000000E+02   8.45602506E+01
    2.53000000E+00   1.00000000E+02   8.58373808E+01
    2.62000000E+00   1.00000000E+02   8.70335700E+01
    2.71000000E+00   1.00000000E+02   8.81539090E+01
    2.80000000E+00   1.00000000E+02   8.92033999E+01
    2.89000000E+00   1.00000000E+02   9.01868674E+01
    2.98000000E+00   1.00000000E+02   9.11089046E+01
    3.07000000E+00   1.00000000E+02   9.19738444E+01
    3.16000000E+00   1.00000000E+02   9.27857468E+01
    3.25000000E+00   1.00000000E+02   9.35483976E+01
    3.34000000E+00   1.00000000E+02   9.42653144E+01
    3.43000000E+00   1.00000000E+02   9.49397570E+01
    3.52000000E+00   1.00000000E+02   9.55747411E+01
    3.61000000E+00   1.00000000E+02   9.61730523E+01
    3.70000000E+00   1.00000000E+02   9.67372622E+01
    3.79000000E+00   1.00000000E+02   9.72697431E+01
    3.88000000E+00   1.00000000E+02   9.77726832E+01
    3.97000000E+00   1.00000000E+02   9.82481007E+01
    4.06000000E+00   1.00000000E+02   9.86978574E+01
    4.15000000E+00   1.00000000E+02   9.91236711E+01
    4.24000000E+00   1.00000000E+02   9.95271276E+01
    4.33000000E+00   1.00000000E+02   9.99096914E+01
    4.42000000E+00   1.00000000E+02   1.00272716E+02
    4.51000000E+00   1.00000000E+02   1.00617451E+02
    4.60000000E+00   1.00000000E+02   1.00945056E+02
    4.69000000E+00   1.00000000E+02   1.01256602E+02
    4.78000000E+00   1.00000000E+02   1.01553082E+02
    4.87000000E+00   1.00000000E+02   1.01835416E+02
    4.96000000E+00   1.00000000E+02   1.02104458E+02
    5.05000000E+00   1.00000000E+02   1.02361002E+02
    5.14000000E+00   1.00000000E+02   1.02605783E+02
    5.23000000E+00   1.00000000E+02   1.02839489E+02
