#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02                -
    1.09000000E+00   1.00000000E+02                -
    1.18000000E+00   1.00000000E+02                -
    1.27000000E+00   1.00000000E+02                -
    1.36000000E+00   1.00000000E+02                -
    1.45000000E+00   1.00000000E+02                -
    1.54000000E+00   1.00000000E+02                -
    1.63000000E+00   1.00000000E+02                -
    1.72000000E+00   1.00000000E+02   1.17464875E+01
    1.81000000E+00   1.00000000E+02   2.15682696E+01
    1.90000000E+00   1.00000000E+02   2.77094451E+01
    1.99000000E+00   1.00000000E+02   3.25083247E+01
    2.08000000E+00   1.00000000E+02   3.65022277E+01
    2.17000000E+00   1.00000000E+02   3.99324243E+01
    2.26000000E+00   1.00000000E+02   4.29348134E+01
    2.35000000E+00   1.00000000E+02   4.55963760E+01
    2.44000000E+00   1.00000000E+02   4.79775886E+01
    2.53000000E+00   1.00000000E+02   5.01230047E+01
    2.62000000E+00   1.00000000E+02   5.20668259E+01
    2.71000000E+00   1.00000000E+02   5.38361479E+01
    2.80000000E+00   1.00000000E+02   5.54529510E+01
    2.89000000E+00   1.00000000E+02   5.69354002E+01
    2.98000000E+00   1.00000000E+02   5.82987305E+01
    3.07000000E+00   1.00000000E+02   5.95558731E+01
    3.16000000E+00   1.00000000E+02   6.07179125E+01
    3.25000000E+00   1.00000000E+02   6.17944283E+01
    3.34000000E+00   1.00000000E+02   6.27937579E+01
    3.43000000E+00   1.00000000E+02   6.37232007E+01
    3.52000000E+00   1.00000000E+02   6.45891811E+01
    3.61000000E+00   1.00000000E+02   6.53973793E+01
    3.70000000E+00   1.00000000E+02   6.61528380E+01
    3.79000000E+00   1.00000000E+02   6.68600507E+01
    3.88000000E+00   1.00000000E+02   6.75230344E+01
    3.97000000E+00   1.00000000E+02   6.81453916E+01
    4.06000000E+00   1.00000000E+02   6.87303616E+01
    4.15000000E+00   1.00000000E+02   6.92808650E+01
    4.24000000E+00   1.00000000E+02   6.97995413E+01
    4.33000000E+00   1.00000000E+02   7.02887812E+01
    4.42000000E+00   1.00000000E+02   7.07507548E+01
    4.51000000E+00   1.00000000E+02   7.11874359E+01
    4.60000000E+00   1.00000000E+02   7.16006229E+01
    4.69000000E+00   1.00000000E+02   7.19919577E+01
    4.78000000E+00   1.00000000E+02   7.23629414E+01
    4.87000000E+00   1.00000000E+02   7.27149491E+01
    4.96000000E+00   1.00000000E+02   7.30492420E+01
    5.05000000E+00   1.00000000E+02   7.33669789E+01
    5.14000000E+00   1.00000000E+02   7.36692258E+01
    5.23000000E+00   1.00000000E+02   7.39569647E+01
    5.32000000E+00   1.00000000E+02   7.42311017E+01
    5.41000000E+00   1.00000000E+02   7.44924734E+01
    5.50000000E+00   1.00000000E+02   7.47418537E+01
    5.59000000E+00   1.00000000E+02   7.49799591E+01
    5.68000000E+00   1.00000000E+02   7.52074537E+01
    5.77000000E+00   1.00000000E+02   7.54249538E+01
    5.86000000E+00   1.00000000E+02   7.56330321E+01
    5.95000000E+00   1.00000000E+02   7.58322209E+01
    6.04000000E+00   1.00000000E+02   7.60230159E+01
    6.13000000E+00   1.00000000E+02   7.62058789E+01
    6.22000000E+00   1.00000000E+02   7.63812407E+01
    6.31000000E+00   1.00000000E+02   7.65495035E+01
    6.40000000E+00   1.00000000E+02   7.67110431E+01
    6.49000000E+00   1.00000000E+02   7.68662110E+01
