#        MINPAR[3]        EXTPAR[0]         MASS[25]
    1.00000000E+00   1.00000000E+02   6.26607891E+01
    1.09000000E+00   1.00000000E+02   6.20856029E+01
    1.18000000E+00   1.00000000E+02   6.23415669E+01
    1.27000000E+00   1.00000000E+02   6.32195616E+01
    1.36000000E+00   1.00000000E+02   6.45312119E+01
    1.45000000E+00   1.00000000E+02   6.61224014E+01
    1.54000000E+00   1.00000000E+02   6.78751019E+01
    1.63000000E+00   1.00000000E+02   6.97031650E+01
    1.72000000E+00   1.00000000E+02   7.15460677E+01
    1.81000000E+00   1.00000000E+02   7.33627517E+01
    1.90000000E+00   1.00000000E+02   7.51264195E+01
    1.99000000E+00   1.00000000E+02   7.68204684E+01
    2.08000000E+00   1.00000000E+02   7.84354503E+01
    2.17000000E+00   1.00000000E+02   7.99668570E+01
    2.26000000E+00   1.00000000E+02   8.14135346E+01
    2.35000000E+00   1.00000000E+02   8.27765590E+01
    2.44000000E+00   1.00000000E+02   8.40584457E+01
    2.53000000E+00   1.00000000E+02   8.52625983E+01
    2.62000000E+00   1.00000000E+02   8.63929259E+01
    2.71000000E+00   1.00000000E+02   8.74535808E+01
    2.80000000E+00   1.00000000E+02   8.84487807E+01
    2.89000000E+00   1.00000000E+02   8.93826898E+01
    2.98000000E+00   1.00000000E+02   9.02593427E+01
    3.07000000E+00   1.00000000E+02   9.10825967E+01
    3.16000000E+00   1.00000000E+02   9.18561046E+01
    3.25000000E+00   1.00000000E+02   9.25833021E+01
    3.34000000E+00   1.00000000E+02   9.32674039E+01
    3.43000000E+00   1.00000000E+02   9.39114066E+01
    3.52000000E+00   1.00000000E+02   9.45180958E+01
    3.61000000E+00   1.00000000E+02   9.50900560E+01
    3.70000000E+00   1.00000000E+02   9.56296811E+01
    3.79000000E+00   1.00000000E+02   9.61391866E+01
    3.88000000E+00   1.00000000E+02   9.66206215E+01
    3.97000000E+00   1.00000000E+02   9.70758801E+01
    4.06000000E+00   1.00000000E+02   9.75067135E+01
    4.15000000E+00   1.00000000E+02   9.79147403E+01
    4.24000000E+00   1.00000000E+02   9.83014571E+01
    4.33000000E+00   1.00000000E+02   9.86682482E+01
    4.42000000E+00   1.00000000E+02   9.90163941E+01
    4.51000000E+00   1.00000000E+02   9.93470802E+01
    4.60000000E+00   1.00000000E+02   9.96614044E+01
    4.69000000E+00   1.00000000E+02   9.99603840E+01
    4.78000000E+00   1.00000000E+02   1.00244963E+02
    4.87000000E+00   1.00000000E+02   1.00516015E+02
    4.96000000E+00   1.00000000E+02   1.00774354E+02
    5.05000000E+00   1.00000000E+02   1.01020735E+02
    5.14000000E+00   1.00000000E+02   1.01255860E+02
    5.23000000E+00   1.00000000E+02   1.01480382E+02
    5.32000000E+00   1.00000000E+02   1.01694909E+02
    5.41000000E+00   1.00000000E+02   1.01900007E+02
    5.50000000E+00   1.00000000E+02   1.02096206E+02
    5.59000000E+00   1.00000000E+02   1.02283998E+02
    5.68000000E+00   1.00000000E+02   1.02463843E+02
    5.77000000E+00   1.00000000E+02   1.02636172E+02
    5.86000000E+00   1.00000000E+02   1.02801387E+02
    5.95000000E+00   1.00000000E+02   1.02959864E+02
    6.04000000E+00   1.00000000E+02   1.03111956E+02
    6.13000000E+00   1.00000000E+02   1.03257993E+02
    6.22000000E+00   1.00000000E+02   1.03398284E+02
    6.31000000E+00   1.00000000E+02   1.03533121E+02
    6.40000000E+00   1.00000000E+02   1.03662776E+02
    6.49000000E+00   1.00000000E+02   1.03787506E+02
    6.58000000E+00   1.00000000E+02   1.03907551E+02
    6.67000000E+00   1.00000000E+02   1.04023139E+02
    6.76000000E+00   1.00000000E+02   1.04134482E+02
    6.85000000E+00   1.00000000E+02   1.04241782E+02
    6.94000000E+00   1.00000000E+02   1.04345229E+02
    7.03000000E+00   1.00000000E+02   1.04445000E+02
    7.12000000E+00   1.00000000E+02   1.04541266E+02
    7.21000000E+00   1.00000000E+02   1.04634184E+02
    7.30000000E+00   1.00000000E+02   1.04723905E+02
    7.39000000E+00   1.00000000E+02   1.04810573E+02
    7.48000000E+00   1.00000000E+02   1.04894320E+02
    7.57000000E+00   1.00000000E+02   1.04975274E+02
    7.66000000E+00   1.00000000E+02   1.05053556E+02
    7.75000000E+00   1.00000000E+02   1.05129281E+02
    7.84000000E+00   1.00000000E+02   1.05202555E+02
    7.93000000E+00   1.00000000E+02   1.05273482E+02
    8.02000000E+00   1.00000000E+02   1.05342160E+02
    8.11000000E+00   1.00000000E+02   1.05408680E+02
    8.20000000E+00   1.00000000E+02   1.05473130E+02
    8.29000000E+00   1.00000000E+02   1.05535594E+02
    8.38000000E+00   1.00000000E+02   1.05596150E+02
    8.47000000E+00   1.00000000E+02   1.05654876E+02
    8.56000000E+00   1.00000000E+02   1.05711841E+02
    8.65000000E+00   1.00000000E+02   1.05767115E+02
    8.74000000E+00   1.00000000E+02   1.05820762E+02
    8.83000000E+00   1.00000000E+02   1.05872844E+02
