              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   7.01993816E+01   3.04082136E+00   7.01806846E+01   7.02182546E+01   6.97518039E+01   7.06315379E+01   6.73850036E+01   7.02955450E+01
  138.0384264454   7.78906151E+01   2.59696147E+00   7.78792912E+01   7.79018706E+01   7.76793557E+01   7.80936134E+01   7.54143117E+01   7.79779205E+01
  190.5460717722   8.42295956E+01   2.32250319E+00   8.42270164E+01   8.42320685E+01   8.41934920E+01   8.42617289E+01   8.19886514E+01   8.43101464E+01
  263.0267991512   8.95706331E+01   2.15042364E+00   8.95636792E+01   8.95774928E+01   8.94688347E+01   8.96712854E+01   8.75048923E+01   8.96457204E+01
  363.0780547102   9.41441723E+01   2.04402704E+00   9.41274952E+01   9.41607825E+01   9.39337878E+01   9.43553982E+01   9.22148882E+01   9.42146840E+01
  501.1872335852   9.81082454E+01   1.98097197E+00   9.80817841E+01   9.81346741E+01   9.78077258E+01   9.84110736E+01   9.62887245E+01   9.81748379E+01
  691.8309708476   1.01576731E+02   1.94679316E+00   1.01540585E+02   1.01612883E+02   1.01200100E+02   1.01956792E+02   9.98476540E+01   1.01639913E+02
  954.9925859046   1.04634962E+02   1.93184033E+00   1.04589342E+02   1.04680630E+02   1.04193219E+02   1.05081011E+02   1.02981812E+02   1.04695141E+02
 1318.2567383699   1.07348819E+02   1.92958926E+00   1.07294007E+02   1.07403722E+02   1.06850806E+02   1.07851837E+02   1.05760362E+02   1.07406332E+02
 1819.7008583177   1.09770358E+02   1.93560369E+00   1.09706687E+02   1.09834168E+02   1.09223319E+02   1.10322968E+02   1.08237695E+02   1.09825487E+02
 2511.8864313092   1.11941472E+02   1.94686375E+00   1.11869301E+02   1.12013829E+02   1.11351427E+02   1.12537548E+02   1.10457412E+02   1.11994457E+02
 3467.3685041823   1.13896378E+02   1.96131086E+00   1.13816084E+02   1.13976907E+02   1.13268394E+02   1.14530772E+02   1.12455018E+02   1.13947425E+02
 4786.3009226611   1.15663369E+02   1.97754969E+00   1.15575333E+02   1.15751687E+02   1.15001748E+02   1.16331708E+02   1.14259796E+02   1.15712657E+02
 6606.9344791691   1.17266094E+02   1.99461055E+00   1.17170698E+02   1.17361821E+02   1.16574544E+02   1.17964626E+02   1.15896172E+02   1.17313782E+02
 9120.1083921325   1.18724479E+02   2.01187028E+00   1.18622098E+02   1.18827239E+02   1.18006187E+02   1.19449969E+02   1.17384692E+02   1.18770705E+02
12589.2541169900   1.20055462E+02   2.02889419E+00   1.19946462E+02   1.20164889E+02   1.19313204E+02   1.20805098E+02   1.18742794E+02   1.20100348E+02
17378.0082858471   1.21273531E+02   2.04540380E+00   1.21158266E+02   1.21389269E+02   1.20509735E+02   1.22044855E+02   1.19985375E+02   1.21317188E+02
23988.3291874621   1.22391171E+02   2.06122022E+00   1.22269983E+02   1.22512877E+02   1.21607974E+02   1.23182021E+02   1.21125260E+02   1.22433696E+02
33113.1121438522   1.23419149E+02   2.07623763E+00   1.23292365E+02   1.23546496E+02   1.22618438E+02   1.24227619E+02   1.22173498E+02   1.23460632E+02
45708.8189545282   1.24366859E+02   2.09039850E+00   1.24234791E+02   1.24499533E+02   1.23550307E+02   1.25191259E+02   1.23139722E+02   1.24407379E+02
63095.7344435130   1.25242497E+02   2.10367910E+00   1.25105443E+02   1.25380199E+02   1.24411595E+02   1.26081321E+02   1.24032329E+02   1.25282125E+02
87096.3589877183   1.26053251E+02   2.11607880E+00   1.25911495E+02   1.26195697E+02   1.25209333E+02   1.26905155E+02   1.24858682E+02   1.26092053E+02
120226.4434485461   1.26805449E+02   2.12761356E+00   1.26659260E+02   1.26952367E+02   1.25949709E+02   1.27669228E+02   1.25625255E+02   1.26843484E+02
165958.6907223609   1.27504688E+02   2.13830591E+00   1.27354322E+02   1.27655821E+02   1.26638202E+02   1.28379257E+02   1.26337776E+02   1.27542009E+02
229086.7652428530   1.28155848E+02   2.14818467E+00   1.28001548E+02   1.28310952E+02   1.27279590E+02   1.29040228E+02   1.27001236E+02   1.28192504E+02
316227.7659955712   1.28763473E+02   2.15729292E+00   1.28605469E+02   1.28922316E+02   1.27878319E+02   1.29656782E+02   1.27620277E+02   1.28799509E+02
436515.8322024432   1.29331418E+02   2.16566165E+00   1.29169927E+02   1.29493783E+02   1.28438166E+02   1.30232854E+02   1.28198841E+02   1.29366875E+02
602559.5860107370   1.29863195E+02   2.17332952E+00   1.29698423E+02   1.30028873E+02   1.28962571E+02   1.30772029E+02   1.28740514E+02   1.29898110E+02
831763.7709989081   1.30361948E+02   2.18033311E+00   1.30194091E+02   1.30530743E+02   1.29454615E+02   1.31277514E+02   1.29248508E+02   1.30396356E+02
1148153.6213316441   1.30830501E+02   2.18670793E+00   1.30659744E+02   1.31002226E+02   1.29917063E+02   1.31752192E+02   1.29725705E+02   1.30864433E+02
1584893.1923611332   1.31271387E+02   2.19249160E+00   1.31097904E+02   1.31445870E+02   1.30352399E+02   1.32198648E+02   1.30174693E+02   1.31304873E+02
2187761.6237696099   1.31686907E+02   2.19771307E+00   1.31510862E+02   1.31863973E+02   1.30762878E+02   1.32619225E+02   1.30597818E+02   1.31719973E+02
3019951.7200957446   1.32079130E+02   2.20240140E+00   1.31900689E+02   1.32258626E+02   1.31150533E+02   1.33016036E+02   1.30997193E+02   1.32111801E+02
4168693.8342006827   1.32449934E+02   2.20659331E+00   1.32269240E+02   1.32631707E+02   1.31517198E+02   1.33390995E+02   1.31374732E+02   1.32482232E+02
5754399.3725673987   1.32801027E+02   2.21031262E+00   1.32618225E+02   1.32984934E+02   1.31864553E+02   1.33745844E+02   1.31732181E+02   1.32832975E+02
7943282.3467748347   1.33133941E+02   2.21358693E+00   1.32949163E+02   1.33319848E+02   1.32194097E+02   1.34082144E+02   1.32071099E+02   1.33165557E+02
10964781.9605757022   1.33450085E+02   2.21644010E+00   1.33263459E+02   1.33637863E+02   1.32507215E+02   1.34401331E+02   1.32392924E+02   1.33481388E+02
15135612.4828901734   1.33750746E+02   2.21889606E+00   1.33562392E+02   1.33940273E+02   1.32805167E+02   1.34704717E+02   1.32698969E+02   1.33781751E+02
20892961.3061081531   1.34037084E+02   2.22098134E+00   1.33847119E+02   1.34228245E+02   1.33089088E+02   1.34993485E+02   1.32990418E+02   1.34067809E+02
28840315.0273558663   1.34310173E+02   2.22268944E+00   1.34118703E+02   1.34502854E+02   1.33360050E+02   1.35268719E+02   1.33268362E+02   1.34340631E+02
39810717.0531701998   1.34570982E+02   2.22408086E+00   1.34378116E+02   1.34765083E+02   1.33618982E+02   1.35531431E+02   1.33533794E+02   1.34601187E+02
54954087.3817006010   1.34820423E+02   2.22514570E+00   1.34626257E+02   1.35015842E+02   1.33866787E+02   1.35782528E+02   1.33787640E+02   1.34850388E+02
75857757.4958575375   1.35059312E+02   2.22590715E+00   1.34863941E+02   1.35255954E+02   1.34104266E+02   1.36022847E+02   1.34030732E+02   1.35089048E+02
104712854.7933363138   1.35288404E+02   2.22638077E+00   1.35091917E+02   1.35486179E+02   1.34332159E+02   1.36253160E+02   1.34263841E+02   1.35317922E+02
144543977.0555978251   1.35508394E+02   2.22658095E+00   1.35310877E+02   1.35707216E+02   1.34551149E+02   1.36474172E+02   1.34487674E+02   1.35537705E+02
199526231.4867960874   1.35719934E+02   2.22652012E+00   1.35521470E+02   1.35919718E+02   1.34761876E+02   1.36686548E+02   1.34702896E+02   1.35749046E+02
275422870.3146071189   1.35923597E+02   2.22621278E+00   1.35724262E+02   1.36124267E+02   1.34964902E+02   1.36890872E+02   1.34910092E+02   1.35952520E+02
380189396.2867578083   1.36119932E+02   2.22566984E+00   1.35919800E+02   1.36321413E+02   1.35160765E+02   1.37087704E+02   1.35109820E+02   1.36148674E+02
524807460.1930522653   1.36309442E+02   2.22490265E+00   1.36108584E+02   1.36511663E+02   1.35349959E+02   1.37277555E+02   1.35302593E+02   1.36338010E+02
724435959.9828093833   1.36492591E+02   2.22392165E+00   1.36291075E+02   1.36695483E+02   1.35532939E+02   1.37460899E+02   1.35488883E+02   1.36520993E+02
999999999.9535888438   1.36669808E+02   2.22273664E+00   1.36467699E+02   1.36873307E+02   1.35710127E+02   1.37638173E+02   1.35669128E+02   1.36698051E+02
1380384264.5123626170   1.36841491E+02   2.22135695E+00   1.36638850E+02   1.37045534E+02   1.35881913E+02   1.37809781E+02   1.35843734E+02   1.36869581E+02
1905460717.8017709192   1.37008008E+02   2.21979150E+00   1.36804894E+02   1.37212536E+02   1.36048659E+02   1.37976099E+02   1.36013075E+02   1.37035951E+02
2630267991.6220698669   1.37169701E+02   2.21804862E+00   1.36966170E+02   1.37374656E+02   1.36210698E+02   1.38137475E+02   1.36177499E+02   1.37197503E+02
3630780547.2541487940   1.37326888E+02   2.21613590E+00   1.37122995E+02   1.37532216E+02   1.36368344E+02   1.38294234E+02   1.36337332E+02   1.37354554E+02
5011872336.0610056504   1.37479864E+02   2.21406124E+00   1.37275659E+02   1.37685513E+02   1.36521884E+02   1.38446676E+02   1.36492871E+02   1.37507398E+02
6918309708.7645147226   1.37629080E+02   2.21185093E+00   1.37424610E+02   1.37835003E+02   1.36671755E+02   1.38595269E+02   1.36644578E+02   1.37656487E+02
9549925859.4448653730   1.37774449E+02   2.20947286E+00   1.37569774E+02   1.37980596E+02   1.36817886E+02   1.38739909E+02   1.36792365E+02   1.37801734E+02
13182567384.2492111361   1.37916386E+02   2.20695488E+00   1.37711535E+02   1.38122709E+02   1.36960677E+02   1.38881026E+02   1.36936653E+02   1.37943553E+02
18197008583.9360514383   1.38055090E+02   2.20430002E+00   1.37850113E+02   1.38261547E+02   1.37100321E+02   1.39018823E+02   1.37077646E+02   1.38082141E+02
25118864314.1393974938   1.38190772E+02   2.20151457E+00   1.37985712E+02   1.38397321E+02   1.37237027E+02   1.39153516E+02   1.37215558E+02   1.38217713E+02
34673685043.2683898717   1.38323626E+02   2.19860406E+00   1.38118521E+02   1.38530226E+02   1.37370984E+02   1.39285302E+02   1.37350586E+02   1.38350459E+02
47863009228.6067221149   1.38453829E+02   2.19557365E+00   1.38248718E+02   1.38660441E+02   1.37502365E+02   1.39414362E+02   1.37482912E+02   1.38480557E+02
66069344794.4450691994   1.38581547E+02   2.19242827E+00   1.38376468E+02   1.38788135E+02   1.37631333E+02   1.39540865E+02   1.37612704E+02   1.38608174E+02
