              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   1.01818811E+02   1.92906513E+00   1.01809326E+02   1.01827968E+02   1.01442668E+02   1.02197559E+02   1.00107230E+02   1.01882359E+02
  138.0384264454   1.04686393E+02   1.92804113E+00   1.04663058E+02   1.04709546E+02   1.04244696E+02   1.05131843E+02   1.03036096E+02   1.04747280E+02
  190.5460717722   1.07247859E+02   1.93162688E+00   1.07211766E+02   1.07283855E+02   1.06750036E+02   1.07750249E+02   1.05655251E+02   1.07306177E+02
  263.0267991512   1.09552181E+02   1.94014722E+00   1.09504342E+02   1.09599986E+02   1.09005578E+02   1.10103974E+02   1.08011723E+02   1.09608141E+02
  363.0780547102   1.11636273E+02   1.95243202E+00   1.11577588E+02   1.11694982E+02   1.11046842E+02   1.12231388E+02   1.10142486E+02   1.11690085E+02
  501.1872335852   1.13528683E+02   1.96728085E+00   1.13459947E+02   1.13597499E+02   1.12901360E+02   1.14162088E+02   1.12076598E+02   1.13580539E+02
  691.8309708476   1.15252326E+02   1.98370502E+00   1.15174248E+02   1.15330542E+02   1.14591281E+02   1.15919781E+02   1.13837563E+02   1.15302399E+02
  954.9925859046   1.16826240E+02   2.00094655E+00   1.16739456E+02   1.16913222E+02   1.16135047E+02   1.17524116E+02   1.15444973E+02   1.16874686E+02
 1318.2567383699   1.18266639E+02   2.01844591E+00   1.18171723E+02   1.18361810E+02   1.17548391E+02   1.18991796E+02   1.16915534E+02   1.18313595E+02
 1819.7008583177   1.19587555E+02   2.03580093E+00   1.19485033E+02   1.19690388E+02   1.18844954E+02   1.20337254E+02   1.18263707E+02   1.19633143E+02
 2511.8864313092   1.20801262E+02   2.05273310E+00   1.20691617E+02   1.20911274E+02   1.20036684E+02   1.21573097E+02   1.19502127E+02   1.20845593E+02
 3467.3685041823   1.21918565E+02   2.06905279E+00   1.21802242E+02   1.22035308E+02   1.21134110E+02   1.22710410E+02   1.20641913E+02   1.21961738E+02
