              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   7.01642491E+01   3.04532736E+00   7.01456809E+01   7.01832081E+01   6.97163976E+01   7.05968737E+01   6.73455310E+01   7.02605563E+01
  138.0384264454   7.78513689E+01   2.59990630E+00   7.78401297E+01   7.78626696E+01   7.76401040E+01   7.80544979E+01   7.53721988E+01   7.79387689E+01
  190.5460717722   8.41884702E+01   2.32467244E+00   8.41859454E+01   8.41909621E+01   8.41524574E+01   8.42205858E+01   8.19454235E+01   8.42690920E+01
  263.0267991512   8.95296382E+01   2.15215262E+00   8.95226873E+01   8.95365349E+01   8.94277431E+01   8.96304281E+01   8.74622408E+01   8.96047832E+01
  363.0780547102   9.41045185E+01   2.04548389E+00   9.40878343E+01   9.41211573E+01   9.38939871E+01   9.43159138E+01   9.21738624E+01   9.41750799E+01
  501.1872335852   9.80705152E+01   1.98225096E+00   9.80440398E+01   9.80969694E+01   9.77698129E+01   9.83735384E+01   9.62498174E+01   9.81371523E+01
  691.8309708476   1.01541124E+02   1.94795096E+00   1.01504959E+02   1.01577301E+02   1.01164283E+02   1.01921402E+02   9.98110121E+01   1.01604347E+02
  954.9925859046   1.04601473E+02   1.93291259E+00   1.04555829E+02   1.04647168E+02   1.04159498E+02   1.05047756E+02   1.02947395E+02   1.04661690E+02
 1318.2567383699   1.07317343E+02   1.93059905E+00   1.07262504E+02   1.07372276E+02   1.06819082E+02   1.07820611E+02   1.05728046E+02   1.07374892E+02
 1819.7008583177   1.09740754E+02   1.93656634E+00   1.09677052E+02   1.09804596E+02   1.09193453E+02   1.10293627E+02   1.08207320E+02   1.09795917E+02
 2511.8864313092   1.11913590E+02   1.94778965E+00   1.11841385E+02   1.11985981E+02   1.11323272E+02   1.12509939E+02   1.10428817E+02   1.11966607E+02
 3467.3685041823   1.13870073E+02   1.96220720E+00   1.13789742E+02   1.13950639E+02   1.13241808E+02   1.14504748E+02   1.12428049E+02   1.13921151E+02
 4786.3009226611   1.15638508E+02   1.97841713E+00   1.15550434E+02   1.15726866E+02   1.14976607E+02   1.16307136E+02   1.14234313E+02   1.15687826E+02
 6606.9344791691   1.17242560E+02   1.99546158E+00   1.17147122E+02   1.17338328E+02   1.16550718E+02   1.17941384E+02   1.15872054E+02   1.17290276E+02
 9120.1083921325   1.18702165E+02   2.01270310E+00   1.18599740E+02   1.18804968E+02   1.17983576E+02   1.19427951E+02   1.17361826E+02   1.18748418E+02
12589.2541169900   1.20034274E+02   2.02971077E+00   1.19925228E+02   1.20143746E+02   1.19291716E+02   1.20784209E+02   1.18721083E+02   1.20079186E+02
17378.0082858471   1.21253385E+02   2.04620559E+00   1.21138073E+02   1.21369170E+02   1.20489288E+02   1.22025009E+02   1.19964733E+02   1.21297067E+02
23988.3291874621   1.22371992E+02   2.06200832E+00   1.22250756E+02   1.22493748E+02   1.21588494E+02   1.23163144E+02   1.21105609E+02   1.22414543E+02
33113.1121438522   1.23400873E+02   2.07701287E+00   1.23274038E+02   1.23528270E+02   1.22599859E+02   1.24209645E+02   1.22154771E+02   1.23442380E+02
45708.8189545282   1.24349425E+02   2.09116151E+00   1.24217306E+02   1.24482151E+02   1.23532571E+02   1.25174127E+02   1.23121856E+02   1.24389968E+02
63095.7344435130   1.25225852E+02   2.10443038E+00   1.25088746E+02   1.25363607E+02   1.24394649E+02   1.26064977E+02   1.24015271E+02   1.25265503E+02
87096.3589877183   1.26037347E+02   2.11681873E+00   1.25895538E+02   1.26179846E+02   1.25193128E+02   1.26889551E+02   1.24842381E+02   1.26076171E+02
120226.4434485461   1.26790242E+02   2.12834244E+00   1.26643999E+02   1.26937215E+02   1.25934202E+02   1.27654320E+02   1.25609667E+02   1.26828298E+02
165958.6907223609   1.27490138E+02   2.13902398E+00   1.27339717E+02   1.27641326E+02   1.26623354E+02   1.28365004E+02   1.26322859E+02   1.27527479E+02
229086.7652428530   1.28141919E+02   2.14889212E+00   1.27987563E+02   1.28297078E+02   1.27265365E+02   1.29026593E+02   1.26986952E+02   1.28178594E+02
316227.7659955712   1.28750131E+02   2.15798990E+00   1.28592071E+02   1.28909031E+02   1.27864684E+02   1.29643733E+02   1.27606594E+02   1.28786186E+02
436515.8322024432   1.29318633E+02   2.16634830E+00   1.29157086E+02   1.29481055E+02   1.28425091E+02   1.30220360E+02   1.28185726E+02   1.29354109E+02
602559.5860107370   1.29850939E+02   2.17400594E+00   1.29686110E+02   1.30016675E+02   1.28950027E+02   1.30760060E+02   1.28727939E+02   1.29885872E+02
831763.7709989081   1.30350195E+02   2.18099940E+00   1.30182281E+02   1.30519047E+02   1.29442576E+02   1.31266046E+02   1.29236446E+02   1.30384620E+02
1148153.6213316441   1.30819226E+02   2.18736427E+00   1.30648412E+02   1.30991010E+02   1.29905506E+02   1.31741199E+02   1.29714132E+02   1.30853176E+02
1584893.1923611332   1.31260568E+02   2.19313776E+00   1.31087027E+02   1.31435108E+02   1.30341302E+02   1.32188109E+02   1.30163584E+02   1.31294070E+02
2187761.6237696099   1.31676525E+02   2.19834928E+00   1.31500424E+02   1.31853649E+02   1.30752219E+02   1.32609118E+02   1.30587155E+02   1.31709607E+02
3019951.7200957446   1.32069165E+02   2.20302792E+00   1.31890666E+02   1.32248718E+02   1.31140295E+02   1.33006343E+02   1.30986955E+02   1.32101851E+02
4168693.8342006827   1.32440367E+02   2.20721006E+00   1.32259616E+02   1.32622198E+02   1.31507362E+02   1.33381697E+02   1.31364901E+02   1.32472681E+02
5754399.3725673987   1.32791843E+02   2.21091966E+00   1.32608983E+02   1.32975807E+02   1.31855102E+02   1.33736925E+02   1.31722739E+02   1.32823805E+02
7943282.3467748347   1.33125123E+02   2.21418432E+00   1.32940287E+02   1.33311087E+02   1.32185016E+02   1.34073588E+02   1.32062031E+02   1.33156754E+02
10964781.9605757022   1.33441619E+02   2.21702788E+00   1.33254935E+02   1.33629454E+02   1.32498489E+02   1.34393123E+02   1.32384215E+02   1.33472935E+02
15135612.4828901734   1.33742617E+02   2.21947432E+00   1.33554206E+02   1.33932201E+02   1.32796783E+02   1.34696843E+02   1.32690604E+02   1.33773636E+02
20892961.3061081531   1.34029281E+02   2.22154961E+00   1.33839258E+02   1.34220497E+02   1.33081032E+02   1.34985932E+02   1.32982384E+02   1.34060019E+02
28840315.0273558663   1.34302681E+02   2.22324950E+00   1.34111156E+02   1.34495422E+02   1.33352310E+02   1.35261475E+02   1.33260648E+02   1.34333153E+02
39810717.0531701998   1.34563792E+02   2.22463088E+00   1.34370870E+02   1.34757949E+02   1.33611547E+02   1.35524485E+02   1.33526386E+02   1.34594010E+02
54954087.3817006010   1.34813524E+02   2.22568645E+00   1.34619302E+02   1.35008998E+02   1.33859646E+02   1.35775868E+02   1.33780528E+02   1.34843501E+02
75857757.4958575375   1.35052692E+02   2.22643868E+00   1.34857266E+02   1.35249390E+02   1.34097409E+02   1.36016464E+02   1.34023906E+02   1.35082441E+02
104712854.7933363138   1.35282055E+02   2.22690315E+00   1.35085514E+02   1.35479885E+02   1.34325577E+02   1.36247043E+02   1.34257291E+02   1.35311586E+02
144543977.0555978251   1.35502306E+02   2.22709425E+00   1.35304735E+02   1.35701182E+02   1.34544832E+02   1.36468313E+02   1.34481391E+02   1.35531629E+02
199526231.4867960874   1.35714098E+02   2.22702441E+00   1.35515581E+02   1.35913936E+02   1.34755814E+02   1.36680937E+02   1.34696870E+02   1.35743222E+02
275422870.3146071189   1.35918006E+02   2.22670812E+00   1.35718618E+02   1.36118729E+02   1.34959088E+02   1.36885502E+02   1.34904315E+02   1.35946940E+02
380189396.2867578083   1.36114577E+02   2.22615632E+00   1.35914393E+02   1.36316111E+02   1.35155191E+02   1.37082567E+02   1.35104283E+02   1.36143330E+02
524807460.1930522653   1.36304316E+02   2.22538033E+00   1.36103407E+02   1.36506589E+02   1.35344618E+02   1.37272643E+02   1.35297289E+02   1.36332895E+02
724435959.9828093833   1.36487686E+02   2.22439059E+00   1.36286120E+02   1.36690630E+02   1.35527824E+02   1.37456205E+02   1.35483806E+02   1.36516099E+02
999999999.9535888438   1.36665118E+02   2.22319693E+00   1.36462959E+02   1.36868668E+02   1.35705230E+02   1.37633690E+02   1.35664270E+02   1.36693372E+02
1380384264.5123626170   1.36837010E+02   2.22180866E+00   1.36634319E+02   1.37041103E+02   1.35877229E+02   1.37805502E+02   1.35839088E+02   1.36865110E+02
1905460717.8017709192   1.37003730E+02   2.22023471E+00   1.36800566E+02   1.37208306E+02   1.36044180E+02   1.37972019E+02   1.36008636E+02   1.37031683E+02
2630267991.6220698669   1.37165619E+02   2.21848340E+00   1.36962039E+02   1.37370622E+02   1.36206419E+02   1.38133588E+02   1.36173260E+02   1.37193430E+02
3630780547.2541487940   1.37322996E+02   2.21656233E+00   1.37119055E+02   1.37528372E+02   1.36364259E+02   1.38290534E+02   1.36333286E+02   1.37350671E+02
5011872336.0610056504   1.37476157E+02   2.21447940E+00   1.37271905E+02   1.37681853E+02   1.36517988E+02   1.38443157E+02   1.36489015E+02   1.37503700E+02
6918309708.7645147226   1.37625553E+02   2.21226089E+00   1.37421037E+02   1.37831523E+02   1.36668043E+02   1.38591926E+02   1.36640905E+02   1.37652969E+02
9549925859.4448653730   1.37771097E+02   2.20987471E+00   1.37566377E+02   1.37977290E+02   1.36814353E+02   1.38736738E+02   1.36788870E+02   1.37798391E+02
13182567384.2492111361   1.37913205E+02   2.20734868E+00   1.37708308E+02   1.38119572E+02   1.36957317E+02   1.38878021E+02   1.36933332E+02   1.37940379E+02
18197008583.9360514383   1.38052073E+02   2.20468586E+00   1.37847052E+02   1.38258574E+02   1.37097130E+02   1.39015980E+02   1.37074493E+02   1.38079134E+02
25118864314.1393974938   1.38187917E+02   2.20189253E+00   1.37982813E+02   1.38394509E+02   1.37234001E+02   1.39150831E+02   1.37212570E+02   1.38214866E+02
34673685043.2683898717   1.38320927E+02   2.19897422E+00   1.38115780E+02   1.38527570E+02   1.37368117E+02   1.39282770E+02   1.37347758E+02   1.38347768E+02
47863009228.6067221149   1.38451283E+02   2.19593610E+00   1.38246130E+02   1.38657937E+02   1.37499654E+02   1.39411979E+02   1.37480239E+02   1.38478019E+02
66069344794.4450691994   1.38579150E+02   2.19278307E+00   1.38374029E+02   1.38785779E+02   1.37628775E+02   1.39538628E+02   1.37610183E+02   1.38605784E+02
91201083925.1264982896   1.38704683E+02   2.18951988E+00   1.38499630E+02   1.38911251E+02   1.37755631E+02   1.39662875E+02   1.37737748E+02   1.38731219E+02
125892541175.1480709910   1.38828029E+02   2.18615100E+00   1.38623076E+02   1.39034502E+02   1.37880365E+02   1.39784869E+02   1.37863081E+02   1.38854468E+02
173780082865.7144314941   1.38949321E+02   2.18268081E+00   1.38744502E+02   1.39155667E+02   1.38003108E+02   1.39904748E+02   1.37986321E+02   1.38975667E+02
239883291884.6199053219   1.39068688E+02   2.17911332E+00   1.38864033E+02   1.39274874E+02   1.38123985E+02   1.40022641E+02   1.38107596E+02   1.39094941E+02
331131121452.3236303334   1.39186246E+02   2.17545253E+00   1.38981786E+02   1.39392243E+02   1.38243112E+02   1.40138670E+02   1.38227027E+02   1.39212410E+02
457088189564.3335648694   1.39302107E+02   2.17170224E+00   1.39097869E+02   1.39507885E+02   1.38360595E+02   1.40252946E+02   1.38344727E+02   1.39328184E+02
630957344461.4291639090   1.39416374E+02   2.16786612E+00   1.39212386E+02   1.39621906E+02   1.38476537E+02   1.40365576E+02   1.38460800E+02   1.39442365E+02
870963589913.4857562528   1.39529143E+02   2.16394764E+00   1.39325432E+02   1.39734402E+02   1.38591032E+02   1.40476659E+02   1.38575345E+02   1.39555051E+02
1202264434535.5725260276   1.39640515E+02   2.15994763E+00   1.39437109E+02   1.39845466E+02   1.38704176E+02   1.40586297E+02   1.38688465E+02   1.39666341E+02
1659586907292.7811623506   1.39750562E+02   2.15587555E+00   1.39547483E+02   1.39955197E+02   1.38816043E+02   1.40694565E+02   1.38800233E+02   1.39776308E+02
2290867652524.0140647252   1.39859367E+02   2.15172948E+00   1.39656638E+02   1.40063654E+02   1.38926710E+02   1.40801546E+02   1.38910732E+02   1.39885034E+02
3162277660087.5165711267   1.39967004E+02   2.14751366E+00   1.39764649E+02   1.40170922E+02   1.39036251E+02   1.40907319E+02   1.39020040E+02   1.39992594E+02
4365158322206.3736399677   1.40073544E+02   2.14302688E+00   1.39871583E+02   1.40276887E+02   1.39144736E+02   1.41011760E+02   1.39128227E+02   1.40099058E+02
6025595860358.5187453913   1.40178852E+02   2.13885360E+00   1.39977311E+02   1.40381959E+02   1.39252042E+02   1.41115301E+02   1.39235157E+02   1.40204291E+02
8317637710335.7619214981   1.40283364E+02   2.13444198E+00   1.40082259E+02   1.40486038E+02   1.39358576E+02   1.41217832E+02   1.39341274E+02   1.40308730E+02
11481536213794.9939080792   1.40386960E+02   2.12997132E+00   1.40186310E+02   1.40589181E+02   1.39464229E+02   1.41319412E+02   1.39446456E+02   1.40412254E+02
15848931924271.9197018290   1.40489694E+02   2.12544411E+00   1.40289517E+02   1.40691442E+02   1.39569052E+02   1.41420096E+02   1.39550756E+02   1.40514916E+02
21877616238607.9633154475   1.40591615E+02   2.12086277E+00   1.40391930E+02   1.40792874E+02   1.39673095E+02   1.41519935E+02   1.39654225E+02   1.40616767E+02
30199517202216.1690455911   1.40692771E+02   2.11622962E+00   1.40493593E+02   1.40893522E+02   1.39776404E+02   1.41618977E+02   1.39756913E+02   1.40717853E+02
41686938343744.3483498525   1.40793205E+02   2.11154692E+00   1.40594551E+02   1.40993433E+02   1.39879020E+02   1.41717269E+02   1.39858863E+02   1.40818219E+02
57543993728072.4334070396   1.40892958E+02   2.10681687E+00   1.40694845E+02   1.41092647E+02   1.39980984E+02   1.41814853E+02   1.39960117E+02   1.40917905E+02
79432823471059.1248705022   1.40992071E+02   2.10204158E+00   1.40794512E+02   1.41191205E+02   1.40082334E+02   1.41911767E+02   1.40060715E+02   1.41016950E+02
109647819610327.1667774216   1.41090577E+02   2.09722305E+00   1.40893588E+02   1.41289143E+02   1.40183103E+02   1.42008051E+02   1.40160694E+02   1.41115391E+02
151356124835210.2894671348   1.41188513E+02   2.09236333E+00   1.40992107E+02   1.41386495E+02   1.40283326E+02   1.42103739E+02   1.40260089E+02   1.41213261E+02
208929613069789.7618384511   1.41285909E+02   2.08746436E+00   1.41090099E+02   1.41483295E+02   1.40383032E+02   1.42198864E+02   1.40358931E+02   1.41310591E+02
288403150285579.3680086429   1.41382805E+02   2.08252530E+00   1.41187606E+02   1.41579572E+02   1.40482261E+02   1.42293467E+02   1.40457262E+02   1.41407423E+02
398107170548295.1896823483   1.41479216E+02   2.07766363E+00   1.41284638E+02   1.41675368E+02   1.40581026E+02   1.42387689E+02   1.40555095E+02   1.41503770E+02
549540873839910.9909486417   1.41575299E+02   2.07257475E+00   1.41381349E+02   1.41770823E+02   1.40679469E+02   1.42481326E+02   1.40652591E+02   1.41599790E+02
758577574990193.0496600956   1.41670841E+02   2.06753978E+00   1.41477536E+02   1.41865720E+02   1.40777403E+02   1.42574517E+02   1.40749535E+02   1.41695270E+02
1047128547977007.6781970958   1.41765979E+02   2.06251025E+00   1.41573328E+02   1.41960234E+02   1.40874950E+02   1.42667318E+02   1.40846064E+02   1.41790346E+02
1445439770616224.4869432598   1.41860769E+02   2.05738595E+00   1.41668782E+02   1.42054328E+02   1.40972163E+02   1.42759690E+02   1.40942237E+02   1.41885074E+02
1995262314951123.8308975205   1.41955166E+02   2.05226590E+00   1.41763853E+02   1.42148049E+02   1.41069003E+02   1.42851683E+02   1.41038006E+02   1.41979409E+02
2754228703260868.0251416251   1.42049220E+02   2.04711383E+00   1.41858597E+02   1.42241419E+02   1.41165521E+02   1.42943318E+02   1.41133424E+02   1.42073403E+02
3801893963026041.8296902419   1.42142958E+02   2.04195109E+00   1.41953021E+02   1.42334463E+02   1.41261725E+02   1.43034622E+02   1.41228517E+02   1.42167080E+02
5248074602149263.5144873406   1.42236383E+02   2.03675951E+00   1.42047147E+02   1.42427185E+02   1.41357635E+02   1.43125599E+02   1.41323288E+02   1.42260445E+02
7244359600130040.2769474521   1.42329517E+02   2.03154696E+00   1.42140989E+02   1.42519608E+02   1.41453268E+02   1.43216273E+02   1.41417760E+02   1.42353518E+02
9999999999952690.5571214791   1.42422375E+02   2.02631476E+00   1.42234563E+02   1.42611748E+02   1.41548636E+02   1.43306658E+02   1.41511949E+02   1.42446317E+02
