              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   9.83229033E+01   2.00616032E+00   9.83143691E+01   9.83314221E+01   9.79747187E+01   9.86741991E+01   9.65101337E+01   9.83903240E+01
  138.0384264454   1.01718360E+02   1.98331943E+00   1.01696062E+02   1.01740637E+02   1.01298450E+02   1.02142369E+02   9.99881511E+01   1.01782411E+02
  190.5460717722   1.04684644E+02   1.97361390E+00   1.04649654E+02   1.04719624E+02   1.04203820E+02   1.05170318E+02   1.03026325E+02   1.04745667E+02
  263.0267991512   1.07303715E+02   1.97353177E+00   1.07257014E+02   1.07350429E+02   1.06770465E+02   1.07842406E+02   1.05707643E+02   1.07362045E+02
  363.0780547102   1.09637665E+02   1.98001548E+00   1.09580131E+02   1.09695250E+02   1.09058775E+02   1.10222478E+02   1.08095781E+02   1.09693593E+02
  501.1872335852   1.11732732E+02   1.99082183E+00   1.11665141E+02   1.11800419E+02   1.11113738E+02   1.12358041E+02   1.10238348E+02   1.11786502E+02
  691.8309708476   1.13624115E+02   2.00435135E+00   1.13547163E+02   1.13701216E+02   1.12969631E+02   1.14285243E+02   1.12171660E+02   1.13675939E+02
  954.9925859046   1.15339433E+02   2.01946928E+00   1.15253744E+02   1.15425326E+02   1.14653359E+02   1.16032420E+02   1.13924223E+02   1.15389491E+02
 1318.2567383699   1.16900958E+02   2.03537555E+00   1.16807099E+02   1.16995076E+02   1.16186643E+02   1.17622412E+02   1.15519029E+02   1.16949408E+02
 1819.7008583177   1.18327069E+02   2.05151046E+00   1.18225561E+02   1.18428892E+02   1.17587411E+02   1.19074053E+02   1.16975033E+02   1.18374049E+02
 2511.8864313092   1.19633204E+02   2.06748659E+00   1.19524525E+02   1.19742252E+02   1.18870737E+02   1.20403154E+02   1.18308145E+02   1.19678835E+02
 3467.3685041823   1.20832513E+02   2.08304307E+00   1.20717107E+02   1.20948342E+02   1.20049465E+02   1.21623176E+02   1.19531903E+02   1.20876906E+02
 4786.3009226611   1.21936319E+02   2.09800609E+00   1.21814597E+02   1.22058515E+02   1.21134660E+02   1.22745702E+02   1.20657951E+02   1.21979570E+02
 6606.9344791691   1.22954450E+02   2.11226654E+00   1.22826796E+02   1.23082628E+02   1.22135930E+02   1.23780784E+02   1.21696388E+02   1.22996647E+02
 9120.1083921325   1.23895496E+02   2.12576082E+00   1.23762268E+02   1.24029296E+02   1.23061677E+02   1.24737205E+02   1.22656029E+02   1.23936718E+02
12589.2541169900   1.24767003E+02   2.13845787E+00   1.24628536E+02   1.24906088E+02   1.23919283E+02   1.25622675E+02   1.23544615E+02   1.24807320E+02
17378.0082858471   1.25575628E+02   2.15034892E+00   1.25432238E+02   1.25719683E+02   1.24715264E+02   1.26443998E+02   1.24368971E+02   1.25615106E+02
23988.3291874621   1.26327287E+02   2.16144052E+00   1.26179266E+02   1.26476013E+02   1.25455409E+02   1.27207213E+02   1.25135151E+02   1.26365983E+02
33113.1121438522   1.27027199E+02   2.17175097E+00   1.26874826E+02   1.27180321E+02   1.26144831E+02   1.27917654E+02   1.25848504E+02   1.27065169E+02
45708.8189545282   1.27680046E+02   2.18130431E+00   1.27523579E+02   1.27837301E+02   1.26788113E+02   1.28580096E+02   1.26513816E+02   1.27717337E+02
63095.7344435130   1.28290004E+02   2.19012965E+00   1.28129688E+02   1.28451146E+02   1.27389347E+02   1.29198803E+02   1.27135359E+02   1.28326661E+02
87096.3589877183   1.28860814E+02   2.19825812E+00   1.28696878E+02   1.29025612E+02   1.27952199E+02   1.29777592E+02   1.27716957E+02   1.28896878E+02
120226.4434485461   1.29395835E+02   2.20572224E+00   1.29228497E+02   1.29564070E+02   1.28479962E+02   1.30319891E+02   1.28262044E+02   1.29431344E+02
165958.6907223609   1.29898091E+02   2.21255458E+00   1.29727554E+02   1.30069558E+02   1.28975599E+02   1.30828783E+02   1.28773710E+02   1.29933080E+02
229086.7652428530   1.30370237E+02   2.21877125E+00   1.30196774E+02   1.30544742E+02   1.29441714E+02   1.31306975E+02   1.29254666E+02   1.30404738E+02
316227.7659955712   1.30814892E+02   2.22444658E+00   1.30638529E+02   1.30992250E+02   1.29880874E+02   1.31757138E+02   1.29707585E+02   1.30848934E+02
436515.8322024432   1.31234188E+02   2.22957255E+00   1.31055176E+02   1.31414227E+02   1.30295171E+02   1.32181448E+02   1.30134645E+02   1.31267798E+02
602559.5860107370   1.31630166E+02   2.23418758E+00   1.31448663E+02   1.31812722E+02   1.30686606E+02   1.32581978E+02   1.30537928E+02   1.31663369E+02
831763.7709989081   1.32004660E+02   2.23832079E+00   1.31820822E+02   1.32189578E+02   1.31056979E+02   1.32960605E+02   1.30919308E+02   1.32037479E+02
1148153.6213316441   1.32359340E+02   2.24199791E+00   1.32173313E+02   1.32546474E+02   1.31407930E+02   1.33319027E+02   1.31280487E+02   1.32391798E+02
1584893.1923611332   1.32695716E+02   2.24524259E+00   1.32507637E+02   1.32884926E+02   1.31740938E+02   1.33658782E+02   1.31623005E+02   1.32727832E+02
2187761.6237696099   1.33015201E+02   2.24807892E+00   1.32825202E+02   1.33206356E+02   1.32057392E+02   1.33981311E+02   1.31948306E+02   1.33046994E+02
3019951.7200957446   1.33319052E+02   2.25052789E+00   1.33127256E+02   1.33512027E+02   1.32358524E+02   1.34287893E+02   1.32257669E+02   1.33350539E+02
4168693.8342006827   1.33608429E+02   2.25261002E+00   1.33414954E+02   1.33803105E+02   1.32645475E+02   1.34579711E+02   1.32552279E+02   1.33639626E+02
5754399.3725673987   1.33884408E+02   2.25434336E+00   1.33689368E+02   1.34080670E+02   1.32919298E+02   1.34857858E+02   1.32833232E+02   1.33915329E+02
7943282.3467748347   1.34147949E+02   2.25574716E+00   1.33951448E+02   1.34345692E+02   1.33180939E+02   1.35123315E+02   1.33101509E+02   1.34178609E+02
10964781.9605757022   1.34399952E+02   2.25683738E+00   1.34202092E+02   1.34599074E+02   1.33431280E+02   1.35376996E+02   1.33358025E+02   1.34430363E+02
15135612.4828901734   1.34641241E+02   2.25762978E+00   1.34442118E+02   1.34841645E+02   1.33671130E+02   1.35619741E+02   1.33603621E+02   1.34671416E+02
20892961.3061081531   1.34872573E+02   2.25813903E+00   1.34672279E+02   1.35074166E+02   1.33901233E+02   1.35852321E+02   1.33839069E+02   1.34902523E+02
28840315.0273558663   1.35094647E+02   2.25837894E+00   1.34893269E+02   1.35297342E+02   1.34122274E+02   1.36075446E+02   1.34065081E+02   1.35124382E+02
39810717.0531701998   1.35308106E+02   2.25836238E+00   1.35105726E+02   1.35511818E+02   1.34334885E+02   1.36289772E+02   1.34282312E+02   1.35337636E+02
54954087.3817006010   1.35513544E+02   2.25810153E+00   1.35310242E+02   1.35718193E+02   1.34539650E+02   1.36495903E+02   1.34491369E+02   1.35542878E+02
75857757.4958575375   1.35711510E+02   2.25760779E+00   1.35507362E+02   1.35917021E+02   1.34737108E+02   1.36694399E+02   1.34692810E+02   1.35740657E+02
104712854.7933363138   1.35902518E+02   2.25689086E+00   1.35697597E+02   1.36108817E+02   1.34927764E+02   1.36885782E+02   1.34887160E+02   1.35931486E+02
144543977.0555978251   1.36087026E+02   2.25596239E+00   1.35881401E+02   1.36294042E+02   1.35112070E+02   1.37070523E+02   1.35074884E+02   1.36115822E+02
199526231.4867960874   1.36265476E+02   2.25483368E+00   1.36059214E+02   1.36473145E+02   1.35290456E+02   1.37249069E+02   1.35256433E+02   1.36294108E+02
275422870.3146071189   1.36438284E+02   2.25350683E+00   1.36231443E+02   1.36646538E+02   1.35463325E+02   1.37421831E+02   1.35432233E+02   1.36466758E+02
380189396.2867578083   1.36605802E+02   2.25200065E+00   1.36398447E+02   1.36814588E+02   1.35631030E+02   1.37589186E+02   1.35602640E+02   1.36634124E+02
524807460.1930522653   1.36768385E+02   2.25031207E+00   1.36560571E+02   1.36977640E+02   1.35793922E+02   1.37751486E+02   1.35768017E+02   1.36796561E+02
724435959.9828093833   1.36926363E+02   2.24845769E+00   1.36718147E+02   1.37136029E+02   1.35952316E+02   1.37909068E+02   1.35928700E+02   1.36954399E+02
999999999.9535888438   1.37080025E+02   2.24643757E+00   1.36871459E+02   1.37290053E+02   1.36106512E+02   1.38062234E+02   1.36084983E+02   1.37107925E+02
1380384264.5123626170   1.37229648E+02   2.24426229E+00   1.37020782E+02   1.37439986E+02   1.36256765E+02   1.38211255E+02   1.36237148E+02   1.37257418E+02
1905460717.8017709192   1.37375507E+02   2.24193805E+00   1.37166390E+02   1.37586105E+02   1.36403351E+02   1.38356417E+02   1.36385477E+02   1.37403150E+02
2630267991.6220698669   1.37517835E+02   2.23947071E+00   1.37308514E+02   1.37728646E+02   1.36546499E+02   1.38497956E+02   1.36530205E+02   1.37545356E+02
3630780547.2541487940   1.37656860E+02   2.23686582E+00   1.37447379E+02   1.37867840E+02   1.36686432E+02   1.38636105E+02   1.36671566E+02   1.37684263E+02
5011872336.0610056504   1.37792790E+02   2.23412931E+00   1.37583192E+02   1.38003895E+02   1.36823354E+02   1.38771076E+02   1.36809771E+02   1.37820079E+02
6918309708.7645147226   1.37926003E+02   2.23128589E+00   1.37716326E+02   1.38137195E+02   1.36957628E+02   1.38903261E+02   1.36945205E+02   1.37953181E+02
9549925859.4448653730   1.38056337E+02   2.22830156E+00   1.37846632E+02   1.38267573E+02   1.37089109E+02   1.39032482E+02   1.37077704E+02   1.38083408E+02
13182567384.2492111361   1.38184141E+02   2.22520282E+00   1.37974431E+02   1.38395381E+02   1.37218135E+02   1.39159100E+02   1.37207623E+02   1.38211108E+02
18197008583.9360514383   1.38309554E+02   2.22199124E+00   1.38099881E+02   1.38520764E+02   1.37344838E+02   1.39283257E+02   1.37335103E+02   1.38336420E+02
25118864314.1393974938   1.38432732E+02   2.21867181E+00   1.38223131E+02   1.38643876E+02   1.37469374E+02   1.39405113E+02   1.37460303E+02   1.38459499E+02
34673685043.2683898717   1.38553815E+02   2.21524883E+00   1.38344319E+02   1.38764859E+02   1.37591878E+02   1.39524810E+02   1.37583366E+02   1.38580486E+02
47863009228.6067221149   1.38672932E+02   2.21172630E+00   1.38463575E+02   1.38883844E+02   1.37712478E+02   1.39642481E+02   1.37704425E+02   1.38699510E+02
