              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   7.07993341E+01   3.02980177E+00   7.07808893E+01   7.08177385E+01   7.03526479E+01   7.12304070E+01   6.79797068E+01   7.08793412E+01
  138.0384264454   7.78732171E+01   2.61822444E+00   7.78618144E+01   7.78845337E+01   7.76608076E+01   7.80772828E+01   7.53619892E+01   7.79467776E+01
  190.5460717722   8.36783096E+01   2.36391862E+00   8.36756837E+01   8.36808298E+01   8.36416884E+01   8.37109045E+01   8.13839799E+01   8.37468793E+01
  263.0267991512   8.85540608E+01   2.20590338E+00   8.85469001E+01   8.85611153E+01   8.84505787E+01   8.86563632E+01   8.64223263E+01   8.86185640E+01
  363.0780547102   9.27173807E+01   2.11034622E+00   9.27001383E+01   9.27345308E+01   9.25022992E+01   9.29332913E+01   9.07128823E+01   9.27784631E+01
  501.1872335852   9.63169992E+01   2.05637268E+00   9.62895725E+01   9.63443584E+01   9.60082190E+01   9.66280933E+01   9.44151870E+01   9.63751418E+01
  691.8309708476   9.94600625E+01   2.03035381E+00   9.94225371E+01   9.94975538E+01   9.90712131E+01   9.98523594E+01   9.76430699E+01   9.95156402E+01
  954.9925859046   1.02226630E+02   2.02314284E+00   1.02179211E+02   1.02274055E+02   1.01768407E+02   1.02689185E+02   1.00480978E+02   1.02279945E+02
 1318.2567383699   1.04678224E+02   2.02852142E+00   1.04621189E+02   1.04735309E+02   1.04159221E+02   1.05202260E+02   1.02993452E+02   1.04729524E+02
 1819.7008583177   1.06863182E+02   2.04223770E+00   1.06796855E+02   1.06929608E+02   1.06290434E+02   1.07441529E+02   1.05230985E+02   1.06912678E+02
 2511.8864313092   1.08820182E+02   2.06137233E+00   1.08744909E+02   1.08895603E+02   1.08199532E+02   1.09446885E+02   1.07233837E+02   1.08868051E+02
 3467.3685041823   1.10580631E+02   2.08391561E+00   1.10496770E+02   1.10664692E+02   1.09916998E+02   1.11250685E+02   1.09034611E+02   1.10627026E+02
 4786.3009226611   1.12170362E+02   2.10848545E+00   1.12078272E+02   1.12262706E+02   1.11467930E+02   1.12879515E+02   1.10660064E+02   1.12215417E+02
 6606.9344791691   1.13610855E+02   2.13413049E+00   1.13510888E+02   1.13711128E+02   1.12873212E+02   1.14355458E+02   1.12132398E+02   1.13654687E+02
 9120.1083921325   1.14920135E+02   2.16019835E+00   1.14812637E+02   1.15027994E+02   1.14150387E+02   1.15697037E+02   1.13470216E+02   1.14962848E+02
12589.2541169900   1.16113461E+02   2.18624473E+00   1.15998762E+02   1.16228573E+02   1.15314311E+02   1.16919918E+02   1.14689241E+02   1.16155146E+02
17378.0082858471   1.17203837E+02   2.21197072E+00   1.17082256E+02   1.17325884E+02   1.16377655E+02   1.18037448E+02   1.15802861E+02   1.17244577E+02
23988.3291874621   1.18202426E+02   2.23717974E+00   1.18074267E+02   1.18331103E+02   1.17351298E+02   1.19061076E+02   1.16822553E+02   1.18242295E+02
33113.1121438522   1.19118861E+02   2.26174652E+00   1.18984411E+02   1.19253878E+02   1.18244632E+02   1.20000678E+02   1.17758213E+02   1.19157923E+02
45708.8189545282   1.19961501E+02   2.28559626E+00   1.19821036E+02   1.20102584E+02   1.19065815E+02   1.20864824E+02   1.18618423E+02   1.19999817E+02
63095.7344435130   1.20737637E+02   2.30868904E+00   1.20591416E+02   1.20884526E+02   1.19821960E+02   1.21660983E+02   1.19410662E+02   1.20775261E+02
87096.3589877183   1.21453658E+02   2.33101089E+00   1.21301926E+02   1.21606105E+02   1.20519303E+02   1.22395697E+02   1.20141479E+02   1.21490639E+02
120226.4434485461   1.22115213E+02   2.35257971E+00   1.21958204E+02   1.22272984E+02   1.21163362E+02   1.23074773E+02   1.20816661E+02   1.22151596E+02
165958.6907223609   1.22727247E+02   2.37335962E+00   1.22565177E+02   1.22890123E+02   1.21758963E+02   1.23703209E+02   1.21441273E+02   1.22763072E+02
229086.7652428530   1.23294121E+02   2.39342350E+00   1.23127198E+02   1.23461896E+02   1.22310369E+02   1.24285535E+02   1.22019781E+02   1.23329426E+02
316227.7659955712   1.23819769E+02   2.41278064E+00   1.23648186E+02   1.23992246E+02   1.22821422E+02   1.24825752E+02   1.22556207E+02   1.23854588E+02
436515.8322024432   1.24307676E+02   2.43146043E+00   1.24131616E+02   1.24484671E+02   1.23295528E+02   1.25327426E+02   1.23054118E+02   1.24342040E+02
602559.5860107370   1.24760960E+02   2.44949446E+00   1.24580597E+02   1.24942299E+02   1.23735736E+02   1.25793747E+02   1.23516701E+02   1.24794899E+02
831763.7709989081   1.25182418E+02   2.46691472E+00   1.24997915E+02   1.25367937E+02   1.24144781E+02   1.26227575E+02   1.23946817E+02   1.25215958E+02
1148153.6213316441   1.25574566E+02   2.48375255E+00   1.25386076E+02   1.25764110E+02   1.24525120E+02   1.26631483E+02   1.24347036E+02   1.25607732E+02
1584893.1923611332   1.25939670E+02   2.50003880E+00   1.25747338E+02   1.26133093E+02   1.24878972E+02   1.27007787E+02   1.24719673E+02   1.25972485E+02
2187761.6237696099   1.26279778E+02   2.51580385E+00   1.26083742E+02   1.26476943E+02   1.25208339E+02   1.27358581E+02   1.25066821E+02   1.26312263E+02
3019951.7200957446   1.26596774E+02   2.53106904E+00   1.26397166E+02   1.26797521E+02   1.25515067E+02   1.27685789E+02   1.25390404E+02   1.26628948E+02
4168693.8342006827   1.26892309E+02   2.54587941E+00   1.26689248E+02   1.27096568E+02   1.25800765E+02   1.27991099E+02   1.25692106E+02   1.26924190E+02
5754399.3725673987   1.27167919E+02   2.56024718E+00   1.26961521E+02   1.27375549E+02   1.26066940E+02   1.28276081E+02   1.25973496E+02   1.27199524E+02
7943282.3467748347   1.27424999E+02   2.57420151E+00   1.27215373E+02   1.27635889E+02   1.26314956E+02   1.28542160E+02   1.26235999E+02   1.27456344E+02
