              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   1.02219975E+02   1.95815328E+00   1.02211217E+02   1.02228538E+02   1.01838192E+02   1.02604853E+02   1.00471867E+02   1.02273615E+02
  138.0384264454   1.04606478E+02   1.95651599E+00   1.04583027E+02   1.04629777E+02   1.04161856E+02   1.05055018E+02   1.02918014E+02   1.04658138E+02
  190.5460717722   1.06761130E+02   1.96488808E+00   1.06724494E+02   1.06797667E+02   1.06260359E+02   1.07266492E+02   1.05124838E+02   1.06810996E+02
  263.0267991512   1.08711066E+02   1.98017818E+00   1.08662443E+02   1.08759650E+02   1.08159847E+02   1.09267425E+02   1.07120724E+02   1.08759299E+02
  363.0780547102   1.10479856E+02   2.00013063E+00   1.10420223E+02   1.10539510E+02   1.09883088E+02   1.11082214E+02   1.08930231E+02   1.10526598E+02
  501.1872335852   1.12087956E+02   2.02311521E+00   1.12018132E+02   1.12157862E+02   1.11449874E+02   1.12731997E+02   1.10574608E+02   1.12133335E+02
  691.8309708476   1.13553133E+02   2.04796002E+00   1.13473821E+02   1.13632590E+02   1.12877420E+02   1.14235109E+02   1.12072266E+02   1.13597262E+02
  954.9925859046   1.14890847E+02   2.07382833E+00   1.14802656E+02   1.14979244E+02   1.14180724E+02   1.15607481E+02   1.13439189E+02   1.14933827E+02
 1318.2567383699   1.16114574E+02   2.10012707E+00   1.16018044E+02   1.16211371E+02   1.15372871E+02   1.16862991E+02   1.14689289E+02   1.16156497E+02
 1819.7008583177   1.17236094E+02   2.12643988E+00   1.17131707E+02   1.17340808E+02   1.16465308E+02   1.18013756E+02   1.15834706E+02   1.17277042E+02
 2511.8864313092   1.18265729E+02   2.15247828E+00   1.18153918E+02   1.18377924E+02   1.17468074E+02   1.19070389E+02   1.16886067E+02   1.18305775E+02
 3467.3685041823   1.19212548E+02   2.17804632E+00   1.19093708E+02   1.19331828E+02   1.18389995E+02   1.20042209E+02   1.17852699E+02   1.19251761E+02
 4786.3009226611   1.20084544E+02   2.20301438E+00   1.19959035E+02   1.20210547E+02   1.19238851E+02   1.20937421E+02   1.18742811E+02   1.20122982E+02
