              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   7.31924370E+01   2.91990449E+00   7.31747583E+01   7.32101344E+01   7.27633805E+01   7.36067053E+01   7.04753033E+01   7.32705482E+01
  138.0384264454   7.99988788E+01   2.54011478E+00   7.99879216E+01   8.00098132E+01   7.97940175E+01   8.01957483E+01   7.75628756E+01   8.00709259E+01
  190.5460717722   8.56106057E+01   2.30323934E+00   8.56081542E+01   8.56130169E+01   8.55759525E+01   8.56414091E+01   8.33755855E+01   8.56778894E+01
  263.0267991512   9.03377100E+01   2.15571102E+00   9.03306727E+01   9.03447074E+01   9.02358059E+01   9.04385399E+01   8.82549670E+01   9.04010779E+01
  363.0780547102   9.43818373E+01   2.06686103E+00   9.43649192E+01   9.43987296E+01   9.41705923E+01   9.45939884E+01   9.24191448E+01   9.44418922E+01
  501.1872335852   9.78829012E+01   2.01736861E+00   9.78559750E+01   9.79098260E+01   9.75795556E+01   9.81886277E+01   9.60176237E+01   9.79400979E+01
  691.8309708476   1.00942557E+02   1.99444494E+00   1.00905688E+02   1.00979456E+02   1.00560321E+02   1.01328305E+02   9.91580764E+01   1.00997253E+02
  954.9925859046   1.03637242E+02   1.98942976E+00   1.03590620E+02   1.03683933E+02   1.03186534E+02   1.04092350E+02   1.01920937E+02   1.03689727E+02
 1318.2567383699   1.06025980E+02   1.99640103E+00   1.05969872E+02   1.06082202E+02   1.05515200E+02   1.06541866E+02   1.04368001E+02   1.06076496E+02
 1819.7008583177   1.08155324E+02   2.01129513E+00   1.08090040E+02   1.08220768E+02   1.07591366E+02   1.08724957E+02   1.06547816E+02   1.08204074E+02
 2511.8864313092   1.10062633E+02   2.03131324E+00   1.09988512E+02   1.10136964E+02   1.09451240E+02   1.10680161E+02   1.08499214E+02   1.10109789E+02
 3467.3685041823   1.11778319E+02   2.05452988E+00   1.11695709E+02   1.11861188E+02   1.11124332E+02   1.12438814E+02   1.10253728E+02   1.11824030E+02
