              ms               Mh              DMh         DMh_as_m         DMh_as_p         DMh_Mt_m         DMh_Mt_p          DMh_Q_m          DMh_Q_p
   99.9999999911   1.00885290E+02   1.97839593E+00   1.00877359E+02   1.00893107E+02   1.00533954E+02   1.01239876E+02   9.90924714E+01   1.00940573E+02
  138.0384264454   1.03472595E+02   1.96853088E+00   1.03450409E+02   1.03494710E+02   1.03054622E+02   1.03894708E+02   1.01746008E+02   1.03525728E+02
  190.5460717722   1.05797178E+02   1.97090298E+00   1.05762136E+02   1.05832200E+02   1.05320010E+02   1.06279202E+02   1.04128051E+02   1.05848371E+02
  263.0267991512   1.07892196E+02   1.98179257E+00   1.07845412E+02   1.07939017E+02   1.07362110E+02   1.08427722E+02   1.06273336E+02   1.07941632E+02
  363.0780547102   1.09785820E+02   1.99849526E+00   1.09728209E+02   1.09843527E+02   1.09208156E+02   1.10369399E+02   1.08211251E+02   1.09833656E+02
  501.1872335852   1.11502072E+02   2.01906126E+00   1.11434404E+02   1.11569897E+02   1.10881412E+02   1.12129035E+02   1.09966777E+02   1.11548449E+02
  691.8309708476   1.13061526E+02   2.04209033E+00   1.12984464E+02   1.13138804E+02   1.12401830E+02   1.13727842E+02   1.11561250E+02   1.13106568E+02
  954.9925859046   1.14481873E+02   2.06658206E+00   1.14396000E+02   1.14568021E+02   1.13786586E+02   1.15184039E+02   1.13012979E+02   1.14525690E+02
 1318.2567383699   1.15778389E+02   2.09182562E+00   1.15684223E+02   1.15872889E+02   1.15050522E+02   1.16513343E+02   1.14337742E+02   1.15821080E+02
 1819.7008583177   1.16964315E+02   2.11731948E+00   1.16862321E+02   1.17066700E+02   1.16206516E+02   1.17729369E+02   1.15549196E+02   1.17005970E+02
 2511.8864313092   1.18051174E+02   2.14271328E+00   1.17941775E+02   1.18161020E+02   1.17265782E+02   1.18843954E+02   1.16659209E+02   1.18091872E+02
 3467.3685041823   1.19049028E+02   2.16776592E+00   1.18932609E+02   1.19165950E+02   1.18238118E+02   1.19867431E+02   1.17678133E+02   1.19088843E+02
 4786.3009226611   1.19966699E+02   2.19231513E+00   1.19843614E+02   1.20090340E+02   1.19132118E+02   1.20808851E+02   1.18615034E+02   1.20005695E+02
 6606.9344791691   1.20811941E+02   2.21625501E+00   1.20682516E+02   1.20941973E+02   1.19955340E+02   1.21676170E+02   1.19477876E+02   1.20850177E+02
 9120.1083921325   1.21591595E+02   2.23952228E+00   1.21456132E+02   1.21727715E+02   1.20714454E+02   1.22476403E+02   1.20273678E+02   1.21629127E+02
12589.2541169900   1.22311716E+02   2.26208142E+00   1.22170495E+02   1.22453642E+02   1.21415367E+02   1.23215755E+02   1.21008650E+02   1.22348592E+02
