# MS = 10000, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY
   -3.0000000000   1.21338105E+02   1.24253645E+02   1.22080553E+02
   -2.9000000000   1.22373207E+02   1.25536204E+02   1.23039870E+02
   -2.8000000000   1.23217683E+02   1.26571903E+02   1.23806553E+02
   -2.7000000000   1.23889756E+02   1.27386644E+02   1.24402545E+02
   -2.6000000000   1.24406152E+02   1.28003802E+02   1.24847263E+02
   -2.5000000000   1.24782347E+02   1.28444643E+02   1.25158048E+02
   -2.4000000000   1.25032759E+02   1.28728647E+02   1.25350512E+02
   -2.3000000000   1.25170898E+02   1.28873770E+02   1.25438825E+02
   -2.2000000000   1.25211816E+02   1.28896654E+02   1.25435933E+02
   -2.1000000000   1.25162850E+02   1.28812790E+02   1.25353741E+02
   -2.0000000000   1.25037799E+02   1.28636661E+02   1.25203261E+02
   -1.9000000000   1.24847542E+02   1.28381849E+02   1.24994729E+02
   -1.8000000000   1.24602460E+02   1.28061127E+02   1.24737701E+02
   -1.7000000000   1.24312466E+02   1.27686534E+02   1.24441130E+02
   -1.6000000000   1.23987033E+02   1.27269427E+02   1.24113433E+02
   -1.5000000000   1.23635213E+02   1.26820535E+02   1.23762531E+02
   -1.4000000000   1.23265644E+02   1.26349498E+02   1.23395895E+02
   -1.3000000000   1.22886556E+02   1.25866879E+02   1.23020567E+02
   -1.2000000000   1.22505765E+02   1.25381171E+02   1.22643183E+02
   -1.1000000000   1.22130667E+02   1.24900835E+02   1.22269985E+02
   -1.0000000000   1.21768224E+02   1.24433793E+02   1.21906824E+02
    -.9000000000   1.21424946E+02   1.23987424E+02   1.21559161E+02
    -.8000000000   1.21106872E+02   1.23568559E+02   1.21232064E+02
    -.7000000000   1.20818160E+02   1.23183467E+02   1.20930196E+02
    -.6000000000   1.20566655E+02   1.22837845E+02   1.20657805E+02
    -.5000000000   1.20355401E+02   1.22536802E+02   1.20418710E+02
    -.4000000000   1.20188310E+02   1.22284838E+02   1.20216285E+02
    -.3000000000   1.20068699E+02   1.22085831E+02   1.20053440E+02
    -.2000000000   1.19999268E+02   1.21943020E+02   1.19932603E+02
    -.1000000000   1.19982078E+02   1.21858987E+02   1.19855707E+02
               0   1.20018536E+02   1.21835570E+02   1.19824171E+02
     .1000000000   1.20109378E+02   1.21874239E+02   1.19838883E+02
     .2000000000   1.20254660E+02   1.21975318E+02   1.19900189E+02
     .3000000000   1.20453753E+02   1.22138762E+02   1.20007885E+02
     .4000000000   1.20705339E+02   1.22363788E+02   1.20161202E+02
     .5000000000   1.21007415E+02   1.22648977E+02   1.20358804E+02
     .6000000000   1.21357296E+02   1.22992362E+02   1.20598782E+02
     .7000000000   1.21751629E+02   1.23391611E+02   1.20878655E+02
     .8000000000   1.22186397E+02   1.23845077E+02   1.21195365E+02
     .9000000000   1.22656939E+02   1.24352466E+02   1.21545282E+02
    1.0000000000   1.23157961E+02   1.24975923E+02   1.21924203E+02
    1.1000000000   1.23683551E+02   1.25444869E+02   1.22327354E+02
    1.2000000000   1.24227190E+02   1.26006707E+02   1.22749390E+02
    1.3000000000   1.24781769E+02   1.26599827E+02   1.23184393E+02
    1.4000000000   1.25339589E+02   1.27209137E+02   1.23625866E+02
    1.5000000000   1.25892373E+02   1.27823866E+02   1.24066725E+02
    1.6000000000   1.26431262E+02   1.28434432E+02   1.24499279E+02
    1.7000000000   1.26946811E+02   1.29028262E+02   1.24915215E+02
    1.8000000000   1.27428971E+02   1.29594620E+02   1.25305558E+02
    1.9000000000   1.27867078E+02   1.30121101E+02   1.25660632E+02
    2.0000000000   1.28249813E+02   1.30594332E+02   1.25970004E+02
    2.1000000000   1.28565165E+02   1.30999839E+02   1.26222407E+02
    2.2000000000   1.28800379E+02   1.31321893E+02   1.26405652E+02
    2.3000000000   1.28941888E+02   1.31543333E+02   1.26506504E+02
    2.4000000000   1.28975223E+02   1.31645342E+02   1.26510539E+02
    2.5000000000   1.28884909E+02   1.31607171E+02   1.26401953E+02
    2.6000000000   1.28654330E+02   1.31405515E+02   1.26163328E+02
    2.7000000000   1.28265556E+02   1.31015140E+02   1.25775338E+02
    2.8000000000   1.27699132E+02   1.30406756E+02   1.25216368E+02
    2.9000000000   1.26933807E+02   1.29547292E+02   1.24462029E+02
    3.0000000000   1.25946185E+02   1.28398669E+02   1.23484539E+02
