# MS = 10000, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   1.22945085E+02   1.24253645E+02   1.22724124E+02   1.23536908e+02
   -2.9400000000   1.23572011E+02   1.25054351E+02   1.23306262E+02   1.24296070e+02
   -2.8800000000   1.24124458E+02   1.25762224E+02   1.23817790E+02   1.24965379e+02
   -2.8200000000   1.24606837E+02   1.26383229E+02   1.24263261E+02   1.25550800e+02
   -2.7600000000   1.25023318E+02   1.26922954E+02   1.24646924E+02   1.26057898e+02
   -2.7000000000   1.25377860E+02   1.27386644E+02   1.24972763E+02   1.26491879e+02
   -2.6400000000   1.25674226E+02   1.27779245E+02   1.25244519E+02   1.26857628e+02
   -2.5800000000   1.25916009E+02   1.28105428E+02   1.25465726E+02   1.27159747e+02
   -2.5200000000   1.26106643E+02   1.28369622E+02   1.25639722E+02   1.27402580e+02
   -2.4600000000   1.26249419E+02   1.28576028E+02   1.25769680E+02   1.27590239e+02
   -2.4000000000   1.26347502E+02   1.28728647E+02   1.25858615E+02   1.27726627e+02
   -2.3400000000   1.26403933E+02   1.28831294E+02   1.25909408E+02   1.27815457e+02
   -2.2800000000   1.26421647E+02   1.28887615E+02   1.25924811E+02   1.27860263e+02
   -2.2200000000   1.26403474E+02   1.28901097E+02   1.25907466E+02   1.27864426e+02
   -2.1600000000   1.26352153E+02   1.28875086E+02   1.25859906E+02   1.27831174e+02
   -2.1000000000   1.26270332E+02   1.28812790E+02   1.25784575E+02   1.27763602e+02
   -2.0400000000   1.26160578E+02   1.28717296E+02   1.25683826E+02   1.27664680e+02
   -1.9800000000   1.26025378E+02   1.28591573E+02   1.25559931E+02   1.27537259e+02
   -1.9200000000   1.25867147E+02   1.28438482E+02   1.25415091E+02   1.27384808e+02
   -1.8600000000   1.25688228E+02   1.28260779E+02   1.25251433E+02   1.27207788e+02
   -1.8000000000   1.25490896E+02   1.28061127E+02   1.25071020E+02   1.27010922e+02
   -1.7400000000   1.25277360E+02   1.27842094E+02   1.24875854E+02   1.26795937e+02
   -1.6800000000   1.25049765E+02   1.27606161E+02   1.24667874E+02   1.26565198e+02
   -1.6200000000   1.24810196E+02   1.27355725E+02   1.24448966E+02   1.26320988e+02
   -1.5600000000   1.24560675E+02   1.27093104E+02   1.24220960E+02   1.26065510e+02
   -1.5000000000   1.24303163E+02   1.26820535E+02   1.23985629E+02   1.25800893e+02
   -1.4400000000   1.24039562E+02   1.26539681E+02   1.23744697E+02   1.25529188e+02
   -1.3800000000   1.23771714E+02   1.26253646E+02   1.23499834E+02   1.25252378e+02
   -1.3200000000   1.23501401E+02   1.25963931E+02   1.23252658E+02   1.24972374e+02
   -1.2600000000   1.23230343E+02   1.25672481E+02   1.23004733E+02   1.24691014e+02
   -1.2000000000   1.22960201E+02   1.25381171E+02   1.22757571E+02   1.24410075e+02
   -1.1400000000   1.22692573E+02   1.25091806E+02   1.22512631E+02   1.24131260e+02
   -1.0800000000   1.22428992E+02   1.24806119E+02   1.22271316E+02   1.23856208e+02
   -1.0200000000   1.22170930E+02   1.24525775E+02   1.22034971E+02   1.23586488e+02
    -.9600000000   1.21919790E+02   1.24252370E+02   1.21804887E+02   1.23323605e+02
    -.9000000000   1.21676909E+02   1.23987424E+02   1.21582293E+02   1.23068992e+02
    -.8400000000   1.21443555E+02   1.23732390E+02   1.21368357E+02   1.22824017e+02
    -.7800000000   1.21220925E+02   1.23488648E+02   1.21164184E+02   1.22589976e+02
    -.7200000000   1.21010143E+02   1.23257502E+02   1.20970815E+02   1.22368097e+02
    -.6600000000   1.20812260E+02   1.23040182E+02   1.20789223E+02   1.22159535e+02
    -.6000000000   1.20628251E+02   1.22837845E+02   1.20620313E+02   1.21965375e+02
    -.5400000000   1.20459010E+02   1.22651568E+02   1.20464918E+02   1.21786627e+02
    -.4800000000   1.20305356E+02   1.22482350E+02   1.20323799E+02   1.21624228e+02
    -.4200000000   1.20168024E+02   1.22331109E+02   1.20197642E+02   1.21479037e+02
    -.3600000000   1.20047667E+02   1.22198684E+02   1.20087057E+02   1.21351838e+02
    -.3000000000   1.19944855E+02   1.22085831E+02   1.19992575E+02   1.21243337e+02
    -.2400000000   1.19860071E+02   1.21993221E+02   1.19914651E+02   1.21154161e+02
    -.1800000000   1.19793712E+02   1.21921440E+02   1.19853655E+02   1.21084855e+02
    -.1200000000   1.19746089E+02   1.21870990E+02   1.19809878E+02   1.21035885e+02
    -.0600000000   1.19717424E+02   1.21842284E+02   1.19783529E+02   1.21007634e+02
               0   1.19707850E+02   1.21835570E+02   1.19774731E+02   1.21000403e+02
     .0600000000   1.19717412E+02   1.21851320E+02   1.19783529E+02   1.21014407e+02
     .1200000000   1.19746065E+02   1.21889450E+02   1.19809878E+02   1.21049788e+02
     .1800000000   1.19793675E+02   1.21950099E+02   1.19853655E+02   1.21106590e+02
     .2400000000   1.19860022E+02   1.22033241E+02   1.19914651E+02   1.21184788e+02
     .3000000000   1.19944794E+02   1.22138762E+02   1.19992575E+02   1.21284264e+02
     .3600000000   1.20047595E+02   1.22266465E+02   1.20087057E+02   1.21404823e+02
     .4200000000   1.20167940E+02   1.22416068E+02   1.20197642E+02   1.21546194e+02
     .4800000000   1.20305261E+02   1.22587214E+02   1.20323799E+02   1.21708029e+02
     .5400000000   1.20458905E+02   1.22779474E+02   1.20464918E+02   1.21889913e+02
     .6000000000   1.20628135E+02   1.22992362E+02   1.20620313E+02   1.22091372e+02
     .6600000000   1.20812136E+02   1.23225361E+02   1.20789223E+02   1.22311894e+02
     .7200000000   1.21010010E+02   1.23478423E+02   1.20970815E+02   1.22550960e+02
     .7800000000   1.21220783E+02   1.23750234E+02   1.21164184E+02   1.22808121e+02
     .8400000000   1.21443405E+02   1.24041201E+02   1.21368357E+02   1.23083175e+02
     .9000000000   1.21676753E+02   1.24352466E+02   1.21582293E+02   1.23376720e+02
     .9600000000   1.21919627E+02   1.24690949E+02   1.21804888E+02   1.23692721e+02
    1.0200000000   1.22170762E+02   1.25059890E+02   1.22034972E+02   1.23975012e+02
    1.0800000000   1.22428820E+02   1.25338719E+02   1.22271316E+02   1.24218000e+02
    1.1400000000   1.22692398E+02   1.25664720E+02   1.22512631E+02   1.24546665e+02
    1.2000000000   1.22960024E+02   1.26006707E+02   1.22757572E+02   1.24883842e+02
    1.2600000000   1.23230164E+02   1.26359984E+02   1.23004733E+02   1.25227994e+02
    1.3200000000   1.23501222E+02   1.26720754E+02   1.23252658E+02   1.25577499e+02
    1.3800000000   1.23771536E+02   1.27086509E+02   1.23499835E+02   1.25930638e+02
    1.4400000000   1.24039387E+02   1.27454959E+02   1.23744698E+02   1.26285603e+02
    1.5000000000   1.24302991E+02   1.27823866E+02   1.23985630E+02   1.26640490e+02
    1.5600000000   1.24560508E+02   1.28190966E+02   1.24220960E+02   1.26993298e+02
    1.6200000000   1.24810036E+02   1.28554830E+02   1.24448967E+02   1.27341926e+02
    1.6800000000   1.25049613E+02   1.28911313E+02   1.24667875E+02   1.27684168e+02
    1.7400000000   1.25277216E+02   1.29258776E+02   1.24875854E+02   1.28017709e+02
    1.8000000000   1.25490763E+02   1.29594620E+02   1.25071021E+02   1.28340121e+02
    1.8600000000   1.25688108E+02   1.29916126E+02   1.25251434E+02   1.28648855e+02
    1.9200000000   1.25867042E+02   1.30220454E+02   1.25415092E+02   1.28941237e+02
    1.9800000000   1.26025289E+02   1.30504624E+02   1.25559932E+02   1.29214457e+02
    2.0400000000   1.26160506E+02   1.30765513E+02   1.25683826E+02   1.29465561e+02
    2.1000000000   1.26270280E+02   1.30999839E+02   1.25784576E+02   1.29691442e+02
    2.1600000000   1.26352122E+02   1.31204149E+02   1.25859907E+02   1.29888825e+02
    2.2200000000   1.26403466E+02   1.31374807E+02   1.25907466E+02   1.30054258e+02
    2.2800000000   1.26421664E+02   1.31507972E+02   1.25924812E+02   1.30184092e+02
    2.3400000000   1.26403978E+02   1.31599584E+02   1.25909409E+02   1.30273884e+02
    2.4000000000   1.26347575E+02   1.31645342E+02   1.25858616E+02   1.30321270e+02
    2.4600000000   1.26249524E+02   1.31640679E+02   1.25769680E+02   1.30319505e+02
    2.5200000000   1.26106780E+02   1.31580733E+02   1.25639723E+02   1.30266507e+02
    2.5800000000   1.25916182E+02   1.31460047E+02   1.25465726E+02   1.30154568e+02
    2.6400000000   1.25674436E+02   1.31273587E+02   1.25244520E+02   1.29980510e+02
    2.7000000000   1.25378109E+02   1.31015140E+02   1.24972763E+02   1.29737913e+02
    2.7600000000   1.25023608E+02   1.30678287E+02   1.24646925E+02   1.29420621e+02
    2.8200000000   1.24607170E+02   1.30256089E+02   1.24263261E+02   1.29021871e+02
    2.8800000000   1.24124836E+02   1.29741017E+02   1.23817791E+02   1.28534620e+02
    2.9400000000   1.23572437E+02   1.29124870E+02   1.23306263E+02   1.27950876e+02
    3.0000000000   1.22945560E+02   1.28398669E+02   1.22724125E+02   1.27261983e+02
