# MS = 100, TanBeta = 5, Xt = 0
#             Xt        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   -3.0000000000   7.83886452E+01   7.88675190E+01   9.11963778E+01                -
   -2.9400000000   7.84120347E+01   7.88468944E+01   9.35061123E+01                -
   -2.8800000000   7.84394530E+01   7.88304433E+01   9.54845180E+01                -
   -2.8200000000   7.84717917E+01   7.88189794E+01   9.71659511E+01                -
   -2.7600000000   7.85100838E+01   7.88134311E+01   9.85791609E+01                -
   -2.7000000000   7.85555459E+01   7.88148742E+01   9.97486075E+01                -
   -2.6400000000   7.86096418E+01   7.88245826E+01   1.00695405E+02                -
   -2.5800000000   7.86741791E+01   7.88441037E+01   1.01438015E+02                -
   -2.5200000000   7.87514654E+01   7.88753798E+01   1.01992765E+02                -
   -2.4600000000   7.88445693E+01   7.89209043E+01   1.02374248E+02                -
   -2.4000000000   7.89577736E+01   7.89846735E+01   1.02595630E+02                -
   -2.3400000000   7.90972731E+01   7.90717978E+01   1.02668891E+02                -
   -2.2800000000   7.92676314E+01   7.91887014E+01   1.02605028E+02                -
   -2.2200000000   7.95457307E+01   7.93490709E+01   1.02414205E+02                -
   -2.1600000000   7.96717932E+01   7.96491107E+01   1.02105889E+02   8.35777999e+01
   -2.1000000000   7.92297547E+01   7.93650003E+01   1.01688956E+02   8.30625354e+01
   -2.0400000000   7.88962794E+01   7.89768101E+01   1.01171783E+02   8.25289873e+01
   -1.9800000000   7.86094836E+01   7.86554201E+01   1.00562325E+02   8.21020843e+01
   -1.9200000000   7.83541093E+01   7.83731988E+01   9.98681797E+01   8.16821230e+01
   -1.8600000000   7.81213317E+01   7.81179295E+01   9.90966483E+01   8.12821813e+01
   -1.8000000000   7.79057907E+01   7.78828115E+01   9.82547824E+01   8.09002450e+01
   -1.7400000000   7.77039929E+01   7.76637848E+01   9.73494298E+01   8.05363474e+01
   -1.6800000000   7.75135568E+01   7.74581559E+01   9.63872736E+01   8.01870230e+01
   -1.6200000000   7.73328174E+01   7.72640010E+01   9.53748665E+01   7.98506457e+01
   -1.5600000000   7.71605970E+01   7.70799387E+01   9.43186621E+01   7.95261987e+01
   -1.5000000000   7.69960628E+01   7.69049691E+01   9.32250428E+01   7.92129897e+01
   -1.4400000000   7.68386347E+01   7.67383682E+01   9.21003444E+01   7.89105292e+01
   -1.3800000000   7.66879205E+01   7.65796160E+01   9.09508775E+01   7.86184643e+01
   -1.3200000000   7.65436708E+01   7.64283471E+01   8.97829462E+01   7.83365382e+01
   -1.2600000000   7.64057454E+01   7.62843139E+01   8.86028636E+01   7.80645632e+01
   -1.2000000000   7.62740883E+01   7.61473609E+01   8.74169641E+01   7.78024024e+01
   -1.1400000000   7.61487083E+01   7.60174034E+01   8.62316114E+01   7.75499569e+01
   -1.0800000000   7.60296641E+01   7.58944127E+01   8.50532032E+01   7.73071563e+01
   -1.0200000000   7.59170521E+01   7.57784038E+01   8.38881707E+01   7.70739517e+01
    -.9600000000   7.58109975E+01   7.56693223E+01   8.27429732E+01   7.68503104e+01
    -.9000000000   7.57116461E+01   7.55671150E+01   8.16240869E+01   7.66350987e+01
    -.8400000000   7.56191584E+01   7.54723090E+01   8.05379870E+01   7.64302289e+01
    -.7800000000   7.55337046E+01   7.53848705E+01   7.94911234E+01   7.62350810e+01
    -.7200000000   7.54554603E+01   7.53048964E+01   7.84898884E+01   7.60495569e+01
    -.6600000000   7.53846034E+01   7.52325040E+01   7.75405774E+01   7.58736158e+01
    -.6000000000   7.53213111E+01   7.51678195E+01   7.66493408E+01   7.57072358e+01
    -.5400000000   7.52657578E+01   7.51109731E+01   7.58221300E+01   7.55504034e+01
    -.4800000000   7.52181132E+01   7.50620968E+01   7.50646352E+01   7.54031084e+01
    -.4200000000   7.51785407E+01   7.50213221E+01   7.43822187E+01   7.52653421e+01
    -.3600000000   7.51471928E+01   7.49887807E+01   7.37798440E+01   7.51370950e+01
    -.3000000000   7.51242276E+01   7.49645919E+01   7.32620031E+01   7.50183556e+01
    -.2400000000   7.51097724E+01   7.49488848E+01   7.28326449E+01   7.49091100e+01
    -.1800000000   7.51039589E+01   7.49417742E+01   7.24951077E+01   7.48093407e+01
    -.1200000000   7.51069042E+01   7.49433719E+01   7.22520580E+01   7.47190262e+01
    -.0600000000   7.51187145E+01   7.49537831E+01   7.21054394E+01   7.46381400e+01
               0   7.51394843E+01   7.49731066E+01   7.20564344E+01   7.45666508e+01
     .0600000000   7.51692958E+01   7.50014342E+01   7.21054396E+01   7.45045216e+01
     .1200000000   7.52082191E+01   7.50388501E+01   7.22520583E+01   7.44517091e+01
     .1800000000   7.52563113E+01   7.50854311E+01   7.24951082E+01   7.44081636e+01
     .2400000000   7.53136164E+01   7.51412455E+01   7.28326456E+01   7.43738284e+01
     .3000000000   7.53801646E+01   7.52063539E+01   7.32620039E+01   7.43486394e+01
     .3600000000   7.54559721E+01   7.52808078E+01   7.37798450E+01   7.43325242e+01
     .4200000000   7.55410404E+01   7.53646500E+01   7.43822199E+01   7.43254021e+01
