# TanBeta = 5, Xt = 0
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
   90.9999999984   7.18387057E+01   7.16685075E+01   6.97602617E+01
   97.6002608442   7.43892480E+01   7.41714156E+01   7.16172812E+01
  104.6792408569   7.66372543E+01   7.63693896E+01   7.33844792E+01
  112.2716616901   7.85722999E+01   7.82535736E+01   7.50695702E+01
  120.4147633808   8.02665070E+01   7.97877692E+01   7.66792481E+01
  129.1484869982   8.17555338E+01   8.12657993E+01   7.82193687E+01
  138.5156705510   8.30792625E+01   8.25919315E+01   7.96950911E+01
  148.5622590882   8.42735236E+01   8.38022541E+01   8.11109898E+01
  159.3375301133   8.53676223E+01   8.49262480E+01   8.24711449E+01
  170.8943351995   8.63844750E+01   8.59868898E+01   8.37792142E+01
  183.2893592772   8.72996360E+01   8.70014145E+01   8.50384927E+01
  196.5833986541   8.81819096E+01   8.79824241E+01   8.62519614E+01
  210.8416592146   8.90513715E+01   8.89388709E+01   8.74223279E+01
  226.1340762256   8.99119853E+01   8.98768962E+01   8.85520608E+01
  242.5356574502   9.07658877E+01   9.08005149E+01   8.96434179E+01
  260.1268509224   9.16139197E+01   9.17121646E+01   9.06984709E+01
  278.9939396218   9.24560349E+01   9.26131376E+01   9.17191263E+01
  299.2294646619   9.32916195E+01   9.35039196E+01   9.27071431E+01
  320.9326791945   9.41197306E+01   9.43844507E+01   9.36641481E+01
  344.2100352017   9.49392679E+01   9.52543249E+01   9.45916500E+01
  369.1757057673   9.57490986E+01   9.61129381E+01   9.54910501E+01
  395.9521448842   9.65481385E+01   9.69595995E+01   9.63636535E+01
  424.6706882093   9.73354149E+01   9.77935956E+01   9.72106773E+01
  455.4721972196   9.81100539E+01   9.86142723E+01   9.80332591E+01
  488.5077501223   9.88713681E+01   9.94210323E+01   9.88324638E+01
  523.9393828785   9.96187906E+01   1.00213374E+02   9.96092897E+01
  561.9408839163   1.00351900E+02   1.00990896E+02   1.00364674E+02
  602.6986467658   1.01070403E+02   1.01753297E+02   1.01099500E+02
  646.4125839746   1.01774122E+02   1.02500372E+02   1.01814596E+02
  693.2971078714   1.02462982E+02   1.03232007E+02   1.02510745E+02
  743.5821821838   1.03136999E+02   1.03948169E+02   1.03188687E+02
  797.5144499863   1.03796239E+02   1.04648895E+02   1.03849120E+02
  855.3584433740   1.04440859E+02   1.05334285E+02   1.04492704E+02
  917.3978813010   1.05071050E+02   1.06004493E+02   1.05120066E+02
  983.9370606967   1.05687039E+02   1.06659714E+02   1.05731800E+02
 1055.3023493356   1.06289091E+02   1.07300182E+02   1.06328468E+02
 1131.8437865576   1.06877490E+02   1.07926158E+02   1.06910606E+02
 1213.9368001745   1.07452538E+02   1.08537925E+02   1.07478722E+02
