# MS = 1000, TanBeta = 20, Xt = 0
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
   90.9999999984   8.92709794E+01   9.04252714E+01   7.84048203E+01
   97.6002608442   9.04147218E+01   9.10029043E+01   8.00152640E+01
  104.6792408569   9.12303145E+01   9.15414571E+01   8.15559321E+01
  112.2716616901   9.18814073E+01   9.20528822E+01   8.30319198E+01
  120.4147633808   9.24575314E+01   9.25613640E+01   8.44477576E+01
  129.1484869982   9.30007191E+01   9.30828818E+01   8.58074960E+01
  138.5156705510   9.35323072E+01   9.36431674E+01   8.71147747E+01
  148.5622590882   9.40636040E+01   9.41626103E+01   8.83728792E+01
  159.3375301133   9.46004075E+01   9.40721312E+01   8.95847869E+01
  170.8943351995   9.51456150E+01   9.53015662E+01   9.07532073E+01
  183.2893592772   9.56622485E+01   9.59065095E+01   9.18806138E+01
  196.5833986541   9.62001397E+01   9.65360616E+01   9.29692722E+01
  210.8416592146   9.67682844E+01   9.71868000E+01   9.40212640E+01
  226.1340762256   9.73629862E+01   9.78580602E+01   9.50385067E+01
  242.5356574502   9.79803273E+01   9.85460343E+01   9.60227714E+01
  260.1268509224   9.86163360E+01   9.92467081E+01   9.69756981E+01
  278.9939396218   9.92671255E+01   9.99634894E+01   9.78988082E+01
  299.2294646619   9.99289936E+01   1.00687809E+02   9.87935168E+01
  320.9326791945   1.00598495E+02   1.01418243E+02   9.96611421E+01
  344.2100352017   1.01272478E+02   1.02152502E+02   1.00502915E+02
  369.1757057673   1.01948125E+02   1.02888422E+02   1.01319985E+02
  395.9521448842   1.02622943E+02   1.03624067E+02   1.02113431E+02
  424.6706882093   1.03294778E+02   1.04357752E+02   1.02884264E+02
  455.4721972196   1.03961768E+02   1.05088077E+02   1.03633433E+02
  488.5077501223   1.04622357E+02   1.05813937E+02   1.04361833E+02
  523.9393828785   1.05275250E+02   1.06534563E+02   1.05070303E+02
  561.9408839163   1.05919391E+02   1.07249506E+02   1.05759639E+02
  602.6986467658   1.06553935E+02   1.07958972E+02   1.06430590E+02
  646.4125839746   1.07178220E+02   1.08663825E+02   1.07083865E+02
  693.2971078714   1.07791746E+02   1.09366975E+02   1.07720134E+02
  743.5821821838   1.08394150E+02   1.10077201E+02   1.08340033E+02
  797.5144499863   1.08985181E+02   1.10807814E+02   1.08944165E+02
  855.3584433740   1.09564688E+02   1.11515424E+02   1.09533101E+02
  917.3978813010   1.10132605E+02   1.12144929E+02   1.10107385E+02
  983.9370606967   1.10688927E+02   1.12671270E+02   1.10667533E+02
 1055.3023493356   1.11233708E+02   1.13209433E+02   1.11214038E+02
 1131.8437865576   1.11767048E+02   1.13746542E+02   1.11747368E+02
 1213.9368001745   1.12289077E+02   1.14275074E+02   1.12267969E+02
 1301.9840477743   1.12799961E+02   1.14797691E+02   1.12776268E+02
 1396.4173922271   1.13299883E+02   1.15309424E+02   1.13272670E+02
 1497.7000191730   1.13789045E+02   1.15813661E+02   1.13757565E+02
 1606.3287093934   1.14267661E+02   1.16306024E+02   1.14231323E+02
 1722.8362753486   1.14735950E+02   1.16790201E+02   1.14694299E+02
 1847.7941745671   1.15194147E+02   1.17265787E+02   1.15146834E+02
 1981.8153123877   1.15642483E+02   1.17730199E+02   1.15589253E+02
 2125.5570489754   1.16081191E+02   1.18183549E+02   1.16021868E+02
 2279.7244224569   1.16510463E+02   1.18629546E+02   1.16444977E+02
 2445.0736078110   1.16930611E+02   1.19066270E+02   1.16858867E+02
 2622.4156256443   1.17341826E+02   1.19493916E+02   1.17263814E+02
 2812.6203201629   1.17744337E+02   1.19912682E+02   1.17660081E+02
 3016.6206256683   1.18138365E+02   1.20322776E+02   1.18047923E+02
 3235.4171421794   1.18524129E+02   1.20724410E+02   1.18427584E+02
 3470.0830445447   1.18901843E+02   1.21117802E+02   1.18799298E+02
 3721.7693443774   1.19271715E+02   1.21503184E+02   1.19163291E+02
