# MS = 1000, TanBeta = 20, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
   90.9999999984   9.93863390E+01   1.01257360E+02   1.11130207E+02
   97.6002608442   1.02366003E+02   1.02333521E+02   1.11566702E+02
  104.6792408569   1.04048022E+02   1.05668894E+02   1.11997864E+02
  112.2716616901   1.05330632E+02   1.06617204E+02   1.12423597E+02
  120.4147633808   1.06625606E+02   1.07737280E+02   1.12843823E+02
  129.1484869982   1.07894348E+02   1.08855886E+02   1.13258484E+02
  138.5156705510   1.09139864E+02   1.09969380E+02   1.13667539E+02
  148.5622590882   1.10367168E+02   1.11093711E+02   1.14070959E+02
  159.3375301133   1.11574901E+02   1.12208104E+02   1.14468728E+02
  170.8943351995   1.12759128E+02   1.13302805E+02   1.14860844E+02
  183.2893592772   1.13880493E+02   1.14369799E+02   1.15247312E+02
  196.5833986541   1.14963491E+02   1.15387195E+02   1.15628148E+02
  210.8416592146   1.15988633E+02   1.16326929E+02   1.16003376E+02
  226.1340762256   1.16905463E+02   1.17147430E+02   1.16373025E+02
  242.5356574502   1.17618743E+02   1.17779035E+02   1.16737133E+02
  260.1268509224   1.17924010E+02   1.18085648E+02   1.17095742E+02
  278.9939396218   1.17287107E+02   1.17732125E+02   1.17448898E+02
  299.2294646619   1.13645554E+02   1.15396078E+02   1.17796654E+02
  320.9326791945   9.69489007E+01   1.29666496E+02   1.18139065E+02
  344.2100352017   1.07908775E+02   1.12230562E+02   1.18476187E+02
  369.1757057673   1.14771762E+02   1.17664495E+02   1.18808082E+02
  395.9521448842   1.17219508E+02   1.20390338E+02   1.19134814E+02
  424.6706882093   1.18633138E+02   1.21481937E+02   1.19456447E+02
  455.4721972196   1.19625016E+02   1.22444403E+02   1.19773047E+02
  488.5077501223   1.20399620E+02   1.23212188E+02   1.20084684E+02
  523.9393828785   1.21045834E+02   1.23889648E+02   1.20391425E+02
  561.9408839163   1.21608736E+02   1.24509200E+02   1.20693341E+02
