# MS = 1000, TanBeta = 20, Xt = 2.44949
#             MS        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   90.9999999984   9.94917553E+01   1.01257360E+02   1.06990465E+02                -
   97.6002608442   1.01814769E+02   1.02333521E+02   1.07577704E+02                -
  104.6792408569   1.03487543E+02   1.05668894E+02   1.08152533E+02                -
  112.2716616901   1.04956642E+02   1.06617204E+02   1.08715261E+02                -
  120.4147633808   1.06307787E+02   1.07737280E+02   1.09266187E+02                -
  129.1484869982   1.07580395E+02   1.08855886E+02   1.09805607E+02                -
  138.5156705510   1.08793138E+02   1.09969380E+02   1.10333807E+02                -
  148.5622590882   1.09953959E+02   1.11093711E+02   1.10851066E+02                -
  159.3375301133   1.11063722E+02   1.12208104E+02   1.11357659E+02                -
  170.8943351995   1.12117283E+02   1.13302805E+02   1.11853851E+02                -
  183.2893592772   1.13072637E+02   1.14369799E+02   1.12339901E+02                -
  196.5833986541   1.13950233E+02   1.15387195E+02   1.12816063E+02                -
  210.8416592146   1.14723530E+02   1.16326929E+02   1.13282582E+02                -
  226.1340762256   1.15329174E+02   1.17147430E+02   1.13739697E+02                -
  242.5356574502   1.15644371E+02   1.17779035E+02   1.14187641E+02                -
  260.1268509224   1.15389474E+02   1.18085648E+02   1.14626641E+02                -
  278.9939396218   1.13731174E+02   1.17732125E+02   1.15056917E+02                -
  299.2294646619   1.05762680E+02   1.15396078E+02   1.15478684E+02                -
  320.9326791945   8.27929992E+01   1.29666496E+02   1.15892149E+02                -
  344.2100352017   1.09242090E+02   1.12230562E+02   1.16297516E+02                -
  369.1757057673   1.12939239E+02   1.17664495E+02   1.16694981E+02                -
  395.9521448842   1.14773110E+02   1.20390338E+02   1.17084736E+02                -
  424.6706882093   1.15975085E+02   1.21481937E+02   1.17466967E+02   1.18295133e+02
  455.4721972196   1.16876401E+02   1.22444403E+02   1.17841856E+02   1.21017757e+02
  488.5077501223   1.17607679E+02   1.23212188E+02   1.18209578E+02   1.22381648e+02
  523.9393828785   1.18231768E+02   1.23889648E+02   1.18570304E+02   1.23340140e+02
  561.9408839163   1.18782937E+02   1.24509200E+02   1.18924200E+02   1.24111141e+02
  602.6986467658   1.19281588E+02   1.25088736E+02   1.19271429E+02   1.24778325e+02
  646.4125839746   1.19740683E+02   1.25639154E+02   1.19612147E+02   1.25381154e+02
  693.2971078714   1.20168890E+02   1.26167899E+02   1.19946508E+02   1.25940838e+02
  743.5821821838   1.20572246E+02   1.26680050E+02   1.20274659E+02   1.26469886e+02
  797.5144499863   1.20955099E+02   1.27173127E+02   1.20596745E+02   1.26976236e+02
  855.3584433740   1.21320669E+02   1.27656685E+02   1.20912907E+02   1.27465246e+02
  917.3978813010   1.21671399E+02   1.28131273E+02   1.21223281E+02   1.27940742e+02
  983.9370606967   1.22009183E+02   1.28598370E+02   1.21528000E+02   1.28405629e+02
 1055.3023493356   1.22335514E+02   1.29059355E+02   1.21827194E+02   1.28862154e+02
