# MS = 1000, TanBeta = 20, Xt = 0
#             MS        MSSMtower        MSSMMuBMu           HSSUSY
   91.0000000000   8.92709794E+01   9.04252714E+01   7.84048203E+01
  100.0900000000   9.07361137E+01   9.12015470E+01   8.05772689E+01
  109.1800000000   9.16343342E+01   9.18502051E+01   8.24507620E+01
  118.2700000000   9.23139926E+01   9.24302670E+01   8.40898644E+01
  127.3600000000   9.28939589E+01   9.29771975E+01   8.55409891E+01
  136.4500000000   9.34185456E+01   9.35196005E+01   8.68385064E+01
  145.5400000000   9.39072719E+01   9.40171753E+01   8.80085054E+01
  154.6300000000   9.43695633E+01   9.44844845E+01   8.90712072E+01
  163.7200000000   9.48106065E+01   9.49482495E+01   9.00425676E+01
  172.8100000000   9.52332524E+01   9.53959436E+01   9.09353744E+01
  181.9000000000   9.56057624E+01   9.58394780E+01   9.17600161E+01
  190.9900000000   9.59745332E+01   9.62738642E+01   9.25250348E+01
  200.0800000000   9.63404826E+01   9.66979463E+01   9.32375294E+01
  209.1700000000   9.67022866E+01   9.71117256E+01   9.39034564E+01
  218.2600000000   9.70588979E+01   9.75159712E+01   9.45278572E+01
  227.3500000000   9.74095158E+01   9.79102077E+01   9.51150321E+01
  236.4400000000   9.77535406E+01   9.82942616E+01   9.56686755E+01
  245.5300000000   9.80905440E+01   9.86679913E+01   9.61919821E+01
  254.6200000000   9.84202372E+01   9.90287178E+01   9.66877310E+01
  263.7100000000   9.87424443E+01   9.93866043E+01   9.71583530E+01
  272.8000000000   9.90570795E+01   9.97328834E+01   9.76059851E+01
  281.8900000000   9.93641295E+01   1.00069844E+02   9.80325154E+01
  290.9800000000   9.96636371E+01   1.00397760E+02   9.84396185E+01
  300.0700000000   9.99556894E+01   1.00716968E+02   9.88287865E+01
  309.1600000000   1.00240409E+02   1.01027764E+02   9.92013538E+01
  318.2500000000   1.00517939E+02   1.01330431E+02   9.95585177E+01
  327.3400000000   1.00788445E+02   1.01625246E+02   9.99013564E+01
  336.4300000000   1.01052108E+02   1.01912481E+02   1.00230844E+02
  345.5200000000   1.01309112E+02   1.02192400E+02   1.00547863E+02
  354.6100000000   1.01559652E+02   1.02465265E+02   1.00853215E+02
  363.7000000000   1.01803923E+02   1.02731328E+02   1.01147630E+02
  372.7900000000   1.02042120E+02   1.02990836E+02   1.01431775E+02
  381.8800000000   1.02274439E+02   1.03244028E+02   1.01706261E+02
  390.9700000000   1.02501071E+02   1.03491132E+02   1.01971648E+02
  400.0600000000   1.02722207E+02   1.03732373E+02   1.02228451E+02
  409.1500000000   1.02938030E+02   1.03967965E+02   1.02477144E+02
  418.2400000000   1.03148721E+02   1.04198113E+02   1.02718166E+02
  427.3300000000   1.03354464E+02   1.04423018E+02   1.02951921E+02
  436.4200000000   1.03555410E+02   1.04642869E+02   1.03178784E+02
  445.5100000000   1.03751733E+02   1.04857851E+02   1.03399105E+02
  454.6000000000   1.03943589E+02   1.05068140E+02   1.03613206E+02
  463.6900000000   1.04131131E+02   1.05273905E+02   1.03821389E+02
  472.7800000000   1.04314506E+02   1.05475309E+02   1.04023935E+02
  481.8700000000   1.04493856E+02   1.05672508E+02   1.04221107E+02
  490.9600000000   1.04669316E+02   1.05865652E+02   1.04413149E+02
  500.0500000000   1.04841017E+02   1.06054884E+02   1.04600291E+02
  509.1400000000   1.05009085E+02   1.06240345E+02   1.04782749E+02
  518.2300000000   1.05173639E+02   1.06422165E+02   1.04960724E+02
  527.3200000000   1.05334796E+02   1.06600474E+02   1.05134407E+02
  536.4100000000   1.05492666E+02   1.06775395E+02   1.05303975E+02
  545.5000000000   1.05647356E+02   1.06947046E+02   1.05469598E+02
  554.5900000000   1.05798969E+02   1.07115485E+02   1.05631434E+02
  563.6800000000   1.05947602E+02   1.07280928E+02   1.05789631E+02
  572.7700000000   1.06093350E+02   1.07443432E+02   1.05944332E+02
  581.8600000000   1.06236303E+02   1.07603101E+02   1.06095670E+02
  590.9500000000   1.06376548E+02   1.07760034E+02   1.06243772E+02
  600.0400000000   1.06514168E+02   1.07914329E+02   1.06388757E+02
  609.1300000000   1.06649244E+02   1.08066080E+02   1.06530740E+02
  618.2200000000   1.06781851E+02   1.08215381E+02   1.06669826E+02
  627.3100000000   1.06912065E+02   1.08362322E+02   1.06806120E+02
  636.4000000000   1.07039956E+02   1.08506993E+02   1.06939718E+02
  645.4900000000   1.07165592E+02   1.08649481E+02   1.07070712E+02
  654.5800000000   1.07289039E+02   1.08789876E+02   1.07199191E+02
  663.6700000000   1.07410360E+02   1.08928265E+02   1.07325238E+02
  672.7600000000   1.07529615E+02   1.09064739E+02   1.07448934E+02
  681.8500000000   1.07646863E+02   1.09199390E+02   1.07570354E+02
  690.9400000000   1.07762160E+02   1.09332758E+02   1.07689571E+02
  700.0300000000   1.07875561E+02   1.09464134E+02   1.07806655E+02
