# MS = 1000, TanBeta = 5, Xt = 0
#             MS        MSSMtower        MSSMMuBMu           HSSUSY         Softsusy
   91.9999999954   7.22534100E+01   7.20773883E+01   7.00563741E+01   7.14273764e+01
   96.4161862712   7.39639040E+01   7.37558235E+01   7.13002629E+01   7.32448196e+01
  101.0443584299   7.55470083E+01   7.53058701E+01   7.25032490E+01   7.49283129e+01
  105.8946922336   7.69714256E+01   7.66960883E+01   7.36677624E+01   7.64512748e+01
  110.9778518699   7.82686614E+01   7.79587005E+01   7.47960064E+01   7.78272152e+01
  116.3050134725   7.94539684E+01   7.91117250E+01   7.58899873E+01   7.90838470e+01
  121.8878896065   8.05385762E+01   8.00570852E+01   7.69515377E+01   8.02215134e+01
  127.7387551116   8.15343103E+01   8.10451611E+01   7.79823379E+01   8.12706448e+01
  133.8704739946   8.24533133E+01   8.19624584E+01   7.89839329E+01   8.22401690e+01
  140.2965278132   8.33069447E+01   8.28204253E+01   7.99577473E+01   8.31419139e+01
  147.0310452121   8.41053553E+01   8.36292496E+01   8.09050983E+01   8.39836462e+01
  154.0888330972   8.48572563E+01   8.43977418E+01   8.18272072E+01   8.47812395e+01
  161.4854090755   8.55700660E+01   8.51333709E+01   8.27252082E+01   8.55410605e+01
  169.2370356939   8.62500321E+01   8.58423756E+01   8.36001577E+01   8.62698889e+01
  177.3607560681   8.68828731E+01   8.65298612E+01   8.44530413E+01   8.69734013e+01
  185.8744314872   8.74816108E+01   8.71999801E+01   8.52847804E+01   8.76562455e+01
  194.7967805458   8.80724655E+01   8.78560641E+01   8.60962378E+01   8.83221906e+01
  204.1474204451   8.86573261E+01   8.85007502E+01   8.68882231E+01   8.89743614e+01
  213.9469099718   8.92375653E+01   8.91360932E+01   8.76614971E+01   8.96148880e+01
  224.2167948595   8.98141332E+01   8.97636632E+01   8.84167756E+01   9.02457118e+01
  234.9796549933   9.03876390E+01   9.03846306E+01   8.91547335E+01   9.08682185e+01
  246.2591542301   9.09584244E+01   9.09998388E+01   8.98760076E+01   9.14834328e+01
  258.0800922437   9.15266167E+01   9.16098663E+01   9.05811998E+01   9.20920871e+01
  270.4684592433   9.20921842E+01   9.22150792E+01   9.12708797E+01   9.26946798e+01
  283.4514929151   9.26549753E+01   9.28156761E+01   9.19455867E+01   9.32915263e+01
  297.0577385201   9.32147547E+01   9.34117255E+01   9.26058326E+01   9.38828058e+01
  311.3171114335   9.37712307E+01   9.40031977E+01   9.32521034E+01   9.44686534e+01
  326.2609631509   9.43240785E+01   9.45899903E+01   9.38848608E+01   9.50487805e+01
  341.9221499754   9.48729558E+01   9.51719504E+01   9.45045442E+01   9.56230441e+01
  358.3351055133   9.54175214E+01   9.57488914E+01   9.51115722E+01   9.61915423e+01
  375.5359161130   9.59574418E+01   9.63206091E+01   9.57063434E+01   9.67541070e+01
  393.5624004881   9.64924011E+01   9.68868902E+01   9.62892384E+01   9.73105896e+01
  412.4541925727   9.70221062E+01   9.74475225E+01   9.68606206E+01   9.78608065e+01
  432.2528289716   9.75463010E+01   9.80022921E+01   9.74208371E+01   9.84045896e+01
  453.0018399615   9.80647203E+01   9.85510219E+01   9.79702200E+01   9.89417807e+01
  474.7468455377   9.85771782E+01   9.90935294E+01   9.85090868E+01   9.94722352e+01
  497.5356553620   9.90834888E+01   9.96296568E+01   9.90377421E+01   9.99958249e+01
  521.4183742515   9.95835018E+01   1.00159266E+02   9.95564774E+01   1.00512439e+02
  546.4475119517   1.00077094E+02   1.00682240E+02   1.00065572E+02   1.01021980e+02
  572.6780989964   1.00564170E+02   1.01198480E+02   1.00565295E+02   1.01524388e+02
  600.1678072720   1.01044656E+02   1.01707910E+02   1.01055904E+02   1.02019600e+02
  628.9770772672   1.01518504E+02   1.02210471E+02   1.01537647E+02   1.02507582e+02
  659.1692504905   1.01985684E+02   1.02706123E+02   1.02010760E+02   1.02988313e+02
  690.8107092289   1.02446185E+02   1.03194844E+02   1.02475475E+02   1.03461790e+02
  723.9710219834   1.02900021E+02   1.03676624E+02   1.02932010E+02   1.03928023e+02
  758.7230969670   1.03347195E+02   1.04151473E+02   1.03380578E+02   1.04387037e+02
  795.1433418378   1.03787755E+02   1.04619410E+02   1.03821383E+02   1.04838868e+02
  833.3118322872   1.04221742E+02   1.05080468E+02   1.04254623E+02   1.05283565e+02
  873.3124874761   1.04649214E+02   1.05534690E+02   1.04680487E+02   1.05721184e+02
  915.2332551964   1.05070233E+02   1.05982127E+02   1.05099159E+02   1.06151789e+02
  959.1663045545   1.05484868E+02   1.06422842E+02   1.05510815E+02   1.06575458e+02
 1005.2082292347   1.05893199E+02   1.06856901E+02   1.05915627E+02   1.06992267e+02
 1053.4602596278   1.06295308E+02   1.07284379E+02   1.06313759E+02   1.07402304e+02
 1104.0284850721   1.06691282E+02   1.07705356E+02   1.06705372E+02   1.07805657e+02
 1157.0240878410   1.07081211E+02   1.08119916E+02   1.07090618E+02   1.08202422e+02
 1212.5635867294   1.07465185E+02   1.08528148E+02   1.07469648E+02   1.08592695e+02
 1270.7690941444   1.07843303E+02   1.08930141E+02   1.07842605E+02   1.08976576e+02
 1331.7685836393   1.08215657E+02   1.09325990E+02   1.08209629E+02   1.09354167e+02
 1395.6961722776   1.08582347E+02   1.09715791E+02   1.08570856E+02   1.09725571e+02
 1462.6924144676   1.08943469E+02   1.10099641E+02   1.08926416E+02   1.10090892e+02
 1532.9046120859   1.09299121E+02   1.10477638E+02   1.09276437E+02   1.10450235e+02
 1606.4871371981   1.09649400E+02   1.10849880E+02   1.09621040E+02   1.10803704e+02
 1683.6017726694   1.09994403E+02   1.11216467E+02   1.09960346E+02   1.11151405e+02
 1764.4180666119   1.10334221E+02   1.11577538E+02   1.10294469E+02   1.11493442e+02
 1849.1137064806   1.10668960E+02   1.11933115E+02   1.10623523E+02   1.11829918e+02
 1937.8749083646   1.10998709E+02   1.12283334E+02   1.10947616E+02   1.12160937e+02
 2030.8968278604   1.11323525E+02   1.12628292E+02   1.11266854E+02   1.12486601e+02
 2128.3839876340   1.11643570E+02   1.12968085E+02   1.11581339E+02   1.12807009e+02
 2230.5507286859   1.11958899E+02   1.13302809E+02   1.11891170E+02   1.13122304e+02
 2337.6216799463   1.12269602E+02   1.13632559E+02   1.12196446E+02   1.13432503e+02
 2449.8322539028   1.12575804E+02   1.13957429E+02   1.12497258E+02   1.13737743e+02
 2567.4291623615   1.12877519E+02   1.14277509E+02   1.12793701E+02   1.14038116e+02
 2690.6709607982   1.13174865E+02   1.14592891E+02   1.13085861E+02   1.14333719e+02
 2819.8286148234   1.13467925E+02   1.14903665E+02   1.13373825E+02   1.14624640e+02
 2955.1860980479   1.13756779E+02   1.15209917E+02   1.13657678E+02   1.14910973e+02
 3097.0410142352   1.14041508E+02   1.15511733E+02   1.13937501E+02   1.15192803e+02
 3245.7052539433   1.14322187E+02   1.15809199E+02   1.14213374E+02   1.15470219e+02
 3401.5056778391   1.14598894E+02   1.16102397E+02   1.14485375E+02   1.15743305e+02
 3564.7848378936   1.14871702E+02   1.16391409E+02   1.14753578E+02   1.16012145e+02
 3735.9017278720   1.15140684E+02   1.16676315E+02   1.15018058E+02   1.16276820e+02
 3915.2325754279   1.15405911E+02   1.16957192E+02   1.15278885E+02   1.16537411e+02
 4103.1716663732   1.15667451E+02   1.17234118E+02   1.15536130E+02   1.16793994e+02
 4300.1322146414   1.15925374E+02   1.17507167E+02   1.15789860E+02   1.17046648e+02
 4506.5472675903   1.16179730E+02   1.17776413E+02   1.16040142E+02   1.17295447e+02
 4722.8706614897   1.16430615E+02   1.18041929E+02   1.16287041E+02   1.17540464e+02
 4949.5780158224   1.16678097E+02   1.18303784E+02   1.16530618E+02   1.17781770e+02
 5187.1677827050   1.16922200E+02   1.18562047E+02   1.16770936E+02   1.18019438e+02
 5436.1623389366   1.17163002E+02   1.18816787E+02   1.17008054E+02   1.18253533e+02
 5697.1091385860   1.17400564E+02   1.19068069E+02   1.17242031E+02   1.18484124e+02
 5970.5819123981   1.17634944E+02   1.19315958E+02   1.17472923E+02   1.18711277e+02
 6257.1819336900   1.17866197E+02   1.19560517E+02   1.17700787E+02   1.18935056e+02
 6557.5393356684   1.18094379E+02   1.19801807E+02   1.17925676E+02   1.19155523e+02
 6872.3145017744   1.18319602E+02   1.20039891E+02   1.18147644E+02   1.19372739e+02
 7202.1995125039   1.18541813E+02   1.20274826E+02   1.18366742E+02   1.19586766e+02
 7547.9196724342   1.18761112E+02   1.20506671E+02   1.18583020E+02   1.19797663e+02
 7910.2350992796   1.18977551E+02   1.20735483E+02   1.18796529E+02   1.20005484e+02
 8289.9424010368   1.19191179E+02   1.20961316E+02   1.19007316E+02   1.20210287e+02
 8687.8764212576   1.19402045E+02   1.21184226E+02   1.19215428E+02   1.20412128e+02
 9104.9120810721   1.19610196E+02   1.21403928E+02   1.19420911E+02   1.20611059e+02
 9541.9662960356   1.19815677E+02   1.21621133E+02   1.19623811E+02   1.20807134e+02
 9999.9999992381   1.20018536E+02   1.21835570E+02   1.19824171E+02   1.21000403e+02
