# MS = 2000, TanBeta = 5, Xt = 0
#             MS               Mh         Delta Mh
  173.3399999989   8.67448890E+01   3.93809262E-01
  185.4600954614   8.77090152E+01   3.99918283E-01
  198.4276393921   8.86383411E+01   4.16452988E-01
  212.3018861645   8.95410111E+01   4.33319488E-01
  227.1462332696   9.04231403E+01   4.50172784E-01
  243.0285110787   9.12889144E+01   4.66656098E-01
  260.0212926577   9.21410649E+01   4.82413942E-01
  278.2022254449   9.29812237E+01   4.97102681E-01
  297.6543861433   9.38101783E+01   5.10397560E-01
  318.4666601738   9.46280595E+01   5.21984518E-01
  340.7341479370   9.54343659E+01   5.31639743E-01
  364.5585993064   9.62241064E+01   5.38753237E-01
  390.0488787114   9.70001258E+01   5.43333969E-01
  417.3214623754   9.77616543E+01   5.45648796E-01
  446.5009706400   9.85078930E+01   5.45719974E-01
  477.7207375523   9.92380680E+01   5.43583428E-01
  511.1234198672   9.99514223E+01   5.39249969E-01
  546.8616490236   1.00647133E+02   5.32662913E-01
  585.0987287580   1.01324220E+02   5.23667934E-01
  626.0093809932   1.01981585E+02   5.12016763E-01
  669.7805444277   1.02618282E+02   4.97421679E-01
  716.6122286175   1.03233911E+02   4.79651050E-01
  766.7184281895   1.03828817E+02   4.58624555E-01
  820.3281002608   1.04405287E+02   4.34687857E-01
  877.6862108286   1.04963812E+02   4.85799201E-01
  939.0548544062   1.05500587E+02   5.44266174E-01
 1004.7144511377   1.06015745E+02   6.06773982E-01
 1074.9650283874   1.06510441E+02   6.73059745E-01
 1150.1275920367   1.06985733E+02   7.43011079E-01
 1230.5455926771   1.07441456E+02   8.16798055E-01
 1316.5864953952   1.07876698E+02   8.94625020E-01
 1408.6434586407   1.08292221E+02   9.76214049E-01
 1507.1371312936   1.08686425E+02   1.06195003E+00
 1612.5175739755   1.09058967E+02   1.15215230E+00
 1725.2663159376   1.09413396E+02   1.24610929E+00
 1845.8985559261   1.09748493E+02   1.34381200E+00
 1974.9655153490   1.10061608E+02   1.44575115E+00
 2113.0569574939   1.10362344E+02   1.55022910E+00
 2260.8038830849   1.10639251E+02   1.66024844E+00
 2418.8814123752   1.10896778E+02   1.77395974E+00
 2588.0118708706   1.11127924E+02   1.89315899E+00
 2768.9680894775   1.11338830E+02   2.01765911E+00
 2962.5769369954   1.11535644E+02   2.14477635E+00
 3169.7230968355   1.11723220E+02   2.27335079E+00
 3391.3531102409   1.11882464E+02   2.40955990E+00
 3628.4797025246   1.12026044E+02   2.54832947E+00
 3882.1864086862   1.12129996E+02   2.69763718E+00
 4153.6325254332   1.12229159E+02   2.84736134E+00
 4444.0584098333   1.12335564E+02   2.99577517E+00
 4754.7911446379   1.12396389E+02   3.15494421E+00
 5087.2506038856   1.12423594E+02   3.32352346E+00
 5442.9559399957   1.12459286E+02   3.48939424E+00
 5823.5325275837   1.12478243E+02   3.65951985E+00
 6230.7193873504   1.12431664E+02   3.84768825E+00
 6666.3771338339   1.12426388E+02   4.02438060E+00
 7132.4964794869   1.12366947E+02   4.21625401E+00
 7631.2073272452   1.12258398E+02   4.42291283E+00
 8164.7885047069   1.12212128E+02   4.61205288E+00
 8735.6781796839   1.12065575E+02   4.82949157E+00
 9346.4849965206   1.11960437E+02   5.03602162E+00
 9999.9999992381   1.11770952E+02   5.26745849E+00
