# MS = 2000, TanBeta = 5, Xt = 0
#             Xt               Mh         Delta Mh
   -3.5000000000   1.05181606E+02   5.84596921E+00
   -3.3833333334   1.09131216E+02   4.90424841E+00
   -3.2666666667   1.12338443E+02   4.15399971E+00
   -3.1500000000   1.14921563E+02   3.54868727E+00
   -3.0333333334   1.16972828E+02   3.05674093E+00
   -2.9166666667   1.18566334E+02   2.65571708E+00
   -2.8000000000   1.19763070E+02   2.32904110E+00
   -2.6833333334   1.20614319E+02   2.06407469E+00
   -2.5666666667   1.21164026E+02   1.85091038E+00
   -2.4500000000   1.21450508E+02   1.68158787E+00
   -2.3333333334   1.21507642E+02   1.54964634E+00
   -2.2166666667   1.21366045E+02   1.44943637E+00
   -2.1000000000   1.21053557E+02   1.37635595E+00
   -1.9833333334   1.20597246E+02   1.32644195E+00
   -1.8666666667   1.20019837E+02   1.29586549E+00
   -1.7500000000   1.19342130E+02   1.28142464E+00
   -1.6333333334   1.18586212E+02   1.28030929E+00
   -1.5166666667   1.17772960E+02   1.28986317E+00
   -1.4000000000   1.16922490E+02   1.30760814E+00
   -1.2833333334   1.16054256E+02   1.33122991E+00
   -1.1666666667   1.15187063E+02   1.35856693E+00
   -1.0500000000   1.14339046E+02   1.38760633E+00
    -.9333333334   1.13527593E+02   1.41648657E+00
    -.8166666667   1.12769218E+02   1.44350788E+00
    -.7000000000   1.12079506E+02   1.46716400E+00
    -.5833333334   1.11472886E+02   1.48607565E+00
    -.4666666667   1.10962343E+02   1.49909941E+00
    -.3500000000   1.10559212E+02   1.50532928E+00
    -.2333333334   1.10272953E+02   1.50412346E+00
    -.1166666667   1.10112156E+02   1.49469342E+00
               0   1.10118664E+02   1.46498861E+00
     .1166666666   1.10180440E+02   1.45257969E+00
     .2333333333   1.10412675E+02   1.41926350E+00
     .3500000000   1.10774895E+02   1.37816785E+00
     .4666666666   1.11262473E+02   1.32958516E+00
     .5833333333   1.11868566E+02   1.27401612E+00
     .7000000000   1.12584195E+02   1.21218131E+00
     .8166666666   1.13398380E+02   1.14502781E+00
     .9333333333   1.14298288E+02   1.07373746E+00
    1.0500000000   1.15269369E+02   9.99702793E-01
    1.1666666666   1.16295686E+02   9.24460165E-01
    1.2833333333   1.17359966E+02   8.49759714E-01
    1.4000000000   1.18443682E+02   7.77531891E-01
    1.5166666666   1.19527133E+02   7.09887971E-01
    1.6333333333   1.20589450E+02   6.49125987E-01
    1.7500000000   1.21608430E+02   6.05941489E-01
    1.8666666666   1.22559978E+02   6.51079129E-01
    1.9833333333   1.23413057E+02   6.85570667E-01
    2.1000000000   1.24166267E+02   7.07864405E-01
    2.2166666666   1.24799084E+02   7.14773078E-01
    2.3333333333   1.25260110E+02   7.02255613E-01
    2.4500000000   1.25515169E+02   6.66450134E-01
    2.5666666666   1.25525974E+02   7.66119521E-01
    2.6833333333   1.25248987E+02   9.20758921E-01
    2.8000000000   1.24633879E+02   1.12824140E+00
    2.9166666666   1.23621467E+02   1.39915617E+00
    3.0333333333   1.22140840E+02   1.74708499E+00
    3.1500000000   1.20105265E+02   2.19001023E+00
    3.2666666666   1.17406142E+02   2.75265751E+00
    3.3833333333   1.13903659E+02   3.47063101E+00
    3.5000000000   1.09411376E+02   4.39809791E+00
